,Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
28,Seagate BarraCuda Hard Drive 6 TB,$137.08 USD,Seagate,ST6000DM003,763649094426,763649094426.0,"3.5""",6 TB,5400.0,256.0,https://www.amazon.ca/dp/B075WX2TKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
29,Seagate BarraCuda Hard Drive 8 TB,$141.44 USD,Seagate,ST8000DM004,763649094419,763649094419.0,"3.5""",8 TB,5400.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075WYBQXJ
32,Seagate BarraCuda Pro Hard Drive,$293.69 USD,Seagate,ST8000DM0004,763649116401,763649116401.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/Seagate-ST8000DM0004-Drives-Cache-Internal/dp/B06Y6CCSVW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y6CCSVW
33,Seagate BarraCuda Pro Hard Drive 1 TB,$58.02 USD,Seagate,ST1000LM049,763649115756,763649115756.0,"2.5""",1 TB,7200.0,128.0,https://www.amazon.ca/Seagate-ST1000LM049-Drives-Cache-Internal/dp/B078TJ17QF?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078TJ17QF
34,Seagate BarraCuda Pro Hard Drive 12 TB,$436.31 USD,Seagate,ST12000DM0007,763649103197,763649117330.0,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/Seagate-ST12000DM0007-Drives-12000-Internal/dp/B078SXT4ZK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078SXT4ZK
35,Seagate BarraCuda Pro Hard Drive 14 TB,$558.53 USD,Seagate,ST14000DM001,8719706004305,,"3.5""",14 TB,7200.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-Performance/dp/B07H7C4DXR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7C4DXR
41,Seagate Desktop Hard Drive ST6000DM001,$205.72 USD,Seagate,ST6000DM001,8592978042073,763649075821.0,,6 TB,7200.0,,https://www.amazon.ca/Seagate-Desktop-3-5-Inch-Internal-ST6000DM001/dp/B013JPKYQC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013JPKYQC
42,Seagate Enterprise Capacity ST1000NM0008,$62.19 USD,Seagate,ST1000NM0008,763649098509,,,1 TB,7200.0,,https://www.amazon.ca/dp/B01N76CZII?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
43,Seagate Enterprise Capacity ST1000NM0055,$82.08 USD,Seagate,ST1000NM0055,7636490069345,763649070796.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B01CG0DF2G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
44,Seagate Enterprise Capacity ST1000NX0313,$174.08 USD,Seagate,ST1000NX0313,7636490043505,763649044957.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B00Q46QUU8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
46,Seagate Enterprise Capacity ST2000NM0055,$90.23 USD,Seagate,ST2000NM0055,8592978061999,763649070789.0,,2 TB,7200.0,,https://www.amazon.ca/Seagate-Enterprise-2TB-ST2000NM0055-7200RPM/dp/B01CG0DCWE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CG0DCWE
47,Seagate Enterprise Capacity ST2000NX0253,$301.75 USD,Seagate,ST2000NX0253,8592978040918,763649044919.0,,2 TB,7200.0,,https://www.amazon.ca/dp/B00Q46R8K4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
48,Seagate Enterprise Capacity ST4000NM0115,$179.1 USD,Seagate,ST4000NM0115,8592978070304,763649115015.0,,4 TB,7200.0,,https://www.amazon.ca/Seagate-SEADX-ST4000NM0115-Hard-Drives/dp/B01N2OGNDU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2OGNDU
52,Seagate Enterprise Hard Drive v5,$224.86 USD,Seagate,ST6000NM0115,7636490068744,763649070192.0,,6 TB,7200.0,6.0,https://www.amazon.ca/dp/B01CG0DCTC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
58,Seagate Exos 7E2 Hard Drive 2 TB,$104.45 USD,Seagate,ST2000NM0008,763649098523,763649111284.0,"3.5""",2 TB,7200.0,128.0,https://www.amazon.ca/Seagate-ST2000NM0008-Drives-Cache-Internal/dp/B01N95NM6L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N95NM6L
60,Seagate Exos 7E8 Hard Drive 4 TB,$166.83 USD,Seagate,ST4000NM002A,8719706015899,,"3.5""",4 TB,7200.0,256.0,https://www.amazon.ca/dp/B07T4411LF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
63,Seagate Exos E 7E8 Hard Drive 8 TB,$229.6 USD,Seagate,ST8000NM0055,7636490064593,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/Seagate-Enterprise-Capacity-Internal-ST8000NM0055/dp/B016AG0ITU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016AG0ITU
72,Seagate FireCuda SSHD 1 TB,$68.9 USD,Seagate,ST1000DX002,763649110263,763649110263.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B01IEKG484?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
73,Seagate FireCuda SSHD 2 TB,$87.04 USD,Seagate,ST2000LX001,7636490069840,763649071298.0,"2.5""",2 TB,5400.0,128.0,https://www.amazon.ca/Seagate-Firecuda-2-5-Inch-Internal-ST2000LX001/dp/B01M1NHCZT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1NHCZT
74,Seagate IronWolf Hard Drive,$215.37 USD,Seagate,ST8000VN0022,763649110874,763649110874.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/dp/B01M1BUBSO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
75,Seagate IronWolf Hard Drive,$330.04 USD,Seagate,ST12000VN0007,763649117347,763649117347.0,"3.5""",12 TB,7.2,256.0,https://www.amazon.ca/dp/B075XPBD5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
76,Seagate IronWolf Hard Drive 1 TB,$50.04 USD,Seagate,ST1000VN002,8719706002370,763649110683.0,"3.5""",1 TB,5900.0,64.0,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
79,Seagate Ironwolf Hard Drive 14 TB,$471.49 USD,Seagate,ST14000VN0008,8719706004343,763649121740.0,"3.5""",14 TB,7200.0,256.0,https://www.amazon.ca/Seagate-IronWolf-14TB-Internal-Drive/dp/B07H7CW4YT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7CW4YT
82,Seagate IronWolf Hard Drive 6 TB,$166.83 USD,Seagate,ST6000VN0033,8719706003674,763649110805.0,"3.5""",6 TB,7200.0,256.0,https://www.amazon.ca/dp/B0767P5BYT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
83,Seagate IronWolf Hard Drive 8 TB,$177.71 USD,Seagate,ST8000VN004,763649125069,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/dp/B084ZV4DXB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
84,Seagate IronWolf NAS Hard Drive ST10000VN0004,$338.73 USD,Seagate,ST10000VN0004,8592978067694,763649089248.0,,10 TB,7200.0,,https://www.amazon.ca/dp/B01IA9GU0Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
85,Seagate IronWolf NAS Hard Drive ST2000VN004,$78.33 USD,Seagate,ST2000VN004,8592978061562,,,2 TB,5900.0,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01LOOJ8T4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8T4
86,Seagate IronWolf NAS Hard Drive ST3000VN007,$94.29 USD,Seagate,ST3000VN007,8592978061548,763649110706.0,,3 TB,5900.0,,https://www.amazon.ca/dp/B01LOOJBRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
87,Seagate IronWolf NAS Hard Drive ST4000VN008,$107.34 USD,Seagate,ST4000VN008,8592978061531,763649110560.0,,4 TB,5900.0,,https://www.amazon.ca/dp/B01LOOJBQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
88,Seagate IronWolf NAS Hard Drive ST6000VN0041,$157.4 USD,Seagate,ST6000VN0041,763649110881,763649110881.0,,6 TB,7200.0,,https://www.amazon.ca/dp/B01LZDFMWQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
89,Seagate IronWolf Pro Hard Drive,$144.34 USD,Seagate,ST4000NE0025,763649098554,763649111314.0,"3.5""",4 TB,7.2,128.0,https://www.amazon.ca/dp/B01N98UJSD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
90,Seagate IronWolf Pro Hard Drive,$207.04 USD,Seagate,ST6000NE0023,763649111321,763649111321.0,"3.5""",6 TB,7.2,256.0,https://www.amazon.ca/Seagate-IronWolf-ST6000NE0023-Internal-Drive/dp/B075V6G82S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075V6G82S
91,Seagate IronWolf Pro Hard Drive,$269.11 USD,Seagate,ST8000NE0004,763649116104,763649116104.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/Seagate-IronWolf-RAID-Internal-Drive/dp/B071JNJFBW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JNJFBW
92,Seagate IronWolf Pro Hard Drive,$514.18 USD,Seagate,ST12000NE0007,763649103210,763649117354.0,"3.5""",12 TB,7.2,256.0,https://www.amazon.ca/dp/B075XNQYV1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
94,Seagate IronWolf Pro Hard Drive 12 TB,$412.46 USD,Seagate,ST12000NE0008,763649121788,,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/dp/B07J3212N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
100,Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB,$324.96 USD,Seagate,ST10000NE0004,8592978063610,,,10 TB,7200.0,,https://www.amazon.ca/dp/B01M4FU8Y3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
101,Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB,$103.0 USD,Seagate,ST2000NE0025,763649111307,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01N2L30Y1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2L30Y1
108,Seagate SkyHawk Hard Drive,$206.62 USD,Seagate,ST10000VX0004,7636490076558,763649089231.0,"3.5""",10 TB,7.2,256.0,https://www.amazon.ca/dp/B07N33PYN4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
110,Seagate SkyHawk Hard Drive 4 TB,$123.5 USD,Seagate,ST4000VX007,763649097953,763649110638.0,"3.5""",4 TB,7200.0,64.0,https://www.amazon.ca/dp/B01L1V9X5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
114,Seagate SkyHawk Hard Drive ST1000VX005,$50.04 USD,Seagate,ST1000VX005,8592978061524,763649110652.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
115,Seagate SkyHawk Hard Drive ST2000VX008,$64.91 USD,Seagate,ST2000VX008,8592978061555,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-SkyHawk-Surveillance-Internal-Drive/dp/B01LOOJ8QM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8QM
116,Seagate SkyHawk Hard Drive ST6000VX0023,$182.94 USD,Seagate,ST6000VX0023,8592978062361,763649110812.0,,6 TB,7200.0,,https://www.amazon.ca/SEAGATE-ST6000VX0023-Skyhawk-Internal-Drive/dp/B01M5FSTXY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FSTXY
120,Seagate Surveillance Hard Drive ST2000VX000,$95.72 USD,Seagate,ST2000VX000,8592978011635,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-Sv35-3-5-Inch-ST2000VX000-Black/dp/B007JUFKM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007JUFKM2
121,Seagate Surveillance Hard Drive ST4000VX000,$125.9 USD,Seagate,ST4000VX000,8592978012670,,,4 TB,5900.0,,https://www.amazon.ca/Seagate-Surveillance-3-5-Inch-Internal-ST4000VX000/dp/B00JW53C5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00JW53C5Y
158,WD Black WD4004FZWX,$211.43 USD,Western Digital,WD4004FZWX,718037847641,,,4 TB,7200.0,,https://www.amazon.ca/Performance-Drive-Internal-Drives-WD4004FZWX/dp/B01GWS2ZOC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GWS2ZOC
159,WD Black WD6001FZWX,$284.74 USD,Western Digital,WD6001FZWX,718037835983,,,6 TB,7200.0,,https://www.amazon.ca/Black-Performance-Desktop-Hard-Drive/dp/B011LVAVEQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B011LVAVEQ
161,WD Blue WD50EZRZ,$193.42 USD,Western Digital,WD50EZRZ,718037840215,,,5 TB,5400.0,,https://www.amazon.ca/dp/B013HNYVFG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
162,WD Gold WD4002FYYZ,$145.07 USD,Western Digital,WD4002FYYZ,8592978055455,,,4 TB,7200.0,,https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV1697A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV1697A
163,WD Gold WD8002FRYZ,$337.22 USD,Western Digital,WD8002FRYZ,718037846408,718037846408.0,,8 TB,7200.0,,https://www.amazon.ca/Gold-Datacenter-Hard-Disk-Drive/dp/B01E17L38A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01E17L38A
164,WD Purple NV WD4NPURX,$181.18 USD,Western Digital,WD4NPURX,8592978039394,,,4 TB,5400.0,,https://www.amazon.ca/Western-Digital-Surveillance-Internal-DriveWD4NPURX/dp/B00WMF076S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00WMF076S
167,WD Purple WD20PURX,$87.89 USD,Western Digital,WD20PURX,718037823331,,,2 TB,5400.0,,https://www.amazon.ca/Intellipower-sata_6_0_gb-3-5-Inch-Internal-WD20PURX/dp/B00IMPO5MO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IMPO5MO
168,WD Purple WD30PURX,$105.62 USD,Western Digital,WD30PURX,718037823300,718037823300.0,,3 TB,5400.0,,https://www.amazon.ca/dp/B00IMPO5N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
169,WD Purple WD40PURX,$171.54 USD,Western Digital,WD40PURX,718037823317,718037823317.0,,4 TB,5400.0,,https://www.amazon.ca/dp/B00IMPO5OW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
171,WD Purple WD60PURX,$192.25 USD,Western Digital,WD60PURX,718037828374,,,6 TB,5400.0,,https://www.amazon.ca/dp/B00P0NV43E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
172,WD Purple WD80PUZX,$294.61 USD,Western Digital,WD80PUZX,718037845487,718037845487.0,,8 TB,5400.0,,https://www.amazon.ca/Wd-Purple-Surveillance-Hard-Drive/dp/B01C2PWLZW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C2PWLZW
177,WD Red Pro WD4002FFWX,$185.51 USD,Western Digital,WD4002FFWX,718037845630,718037845630.0,,4 TB,7200.0,,https://www.amazon.ca/Western-Digital-3-5-Inch-Internal-WD4002FFWX/dp/B01CL6R7QU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CL6R7QU
178,WD Red Pro WD6002FFWX,$246.53 USD,Western Digital,WD6002FFWX,718037845647,718037845647.0,,6 TB,7200.0,,https://www.amazon.ca/Red-Pro-NAS-Hard-Drive/dp/B01CHP20MG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CHP20MG
179,WD Red Pro WD8001FFWX,$394.44 USD,Western Digital,WD8001FFWX,718037847696,718037847696.0,,8 TB,7200.0,,https://www.amazon.ca/3-5-Inch-7200rpm-128MB-Internal-WD8001FFWX/dp/B01H33VQDG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H33VQDG
180,WD Red WD80EFZX,$304.54 USD,Western Digital,WD80EFZX,718037845500,718037845500.0,,8 TB,5400.0,,https://www.amazon.ca/Red-8TB-Hard-Disk-Drive/dp/B01BYLY4DM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BYLY4DM
181,Western Blue Mobile 1 TB,$47.13 USD,Western Digital,WD10SPZX,718037845319,,"2.5""",1 TB,5400.0,128.0,https://www.amazon.ca/dp/B071F9MLJJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
182,Western Blue Mobile 2 TB,$72.52 USD,Western Digital,WD20SPZX,718037847405,,"2.5""",2 TB,5400.0,128.0,https://www.amazon.ca/dp/B079BQS5WQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
183,Western Digital Black 1 TB,$58.01 USD,Western Digital,WD1003FZEX,718037786469,718037786469.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B00FJRS6FU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
184,Western Digital Black 2 TB,$100.81 USD,Western Digital,WD2003FZEX,718037810553,718037810553.0,"3.5""",2 TB,7200.0,64.0,https://www.amazon.ca/dp/B00FJRS628?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
185,"Western Digital Black 2,5 Zoll",$65.97 USD,Western Digital,WD10JPLX,718037846729,718037846729.0,"2.5""",1 TB,7.2,32.0,https://www.amazon.ca/WESTERN-DIGITAL-Performance-Mobile-WD10JPLX/dp/B01DOL05OC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01DOL05OC
186,Western Digital Black 4 TB,$141.43 USD,Western Digital,WD4005FZBX,718037856001,718037856001.0,"3.5""",4 TB,7200.0,256.0,https://www.amazon.ca/dp/B0792G331G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
187,Western Digital Black 6 TB,$174.08 USD,Western Digital,WD6003FZBX,718037855998,,"3.5""",6 TB,7200.0,256.0,https://www.amazon.ca/dp/B0792GSD6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
188,Western Digital Blue,$240.51 USD,Western Digital,WD60EZRZ,718037840192,718037840192.0,"3.5""",6 TB,5.4,64.0,https://www.amazon.ca/dp/B013HNYVCE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
189,Western Digital Blue 1 TB,$43.52 USD,Western Digital,WD10EZRZ,718037840147,718037840147.0,"3.5""",1 TB,5400.0,64.0,https://www.amazon.ca/Blue-Desktop-Hard-Disk-Drive/dp/B013HNYVLA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013HNYVLA
190,Western Digital Blue 1 TB,$50.75 USD,Western Digital,WD10EZEX,718037779911,718037779911.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B0088PUEPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
191,Western Digital Blue 2 TB,$55.12 USD,Western Digital,WD20EZAZ,718037856254,,"3.5""",2 TB,5.4,256.0,https://www.amazon.ca/dp/B07JC1TQ7N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
192,Western Digital Blue 2 TB,$63.1 USD,Western Digital,WD20EZRZ,718037840222,718037840222.0,"3.5""",2 TB,5400.0,64.0,https://www.amazon.ca/dp/B013QFRS2S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
193,"Western Digital Blue 2,5 Zoll",$61.89 USD,Western Digital,WD10JPVX,718037800936,718037800936.0,"2.5""",1 TB,5.4,8.0,https://www.amazon.ca/5400rpm-Sata-Scorpio-Blue-WD10JPVX/dp/B00C9TEBJQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00C9TEBJQ
