,Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
28,ASRock Z390 Taichi,$245.05 USD,ASRock,90-MXB8H0-A0UAYZ,4717677336764,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYP716L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
29,ASRock Z790 PG Lightning,$103.61 USD,ASRock,90-MXBKA0-A0UAYZ,4710483940965,,1700,Z790,False,ATX,DDR5,128 GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B08TV9LWGL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
35,ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,$77.33 USD,Asus,90MB0RR0-M0EAY0,4712900424454,,1151,B150,False,Micro-ATX,DDR4, GB,4,,,,,,False,False,https://www.amazon.ca/dp/B01I17YYJQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
40,ASUS PRIME B250M-A,$68.9 USD,ASUS,90MB0SR0-M0EAY0,4712900572056,632983040249.0,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASUS-PRIME-B250M-LGA1151-Motherboard/dp/B01NAGY084?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAGY084
54,Asus ROG RAMPAGE VI EXTREME,$760.77 USD,Asus,ROG RAMPAGE VI EXTREME,889349805534,889349805534.0,2066,X299,True,E-ATX,DDR4,128 GB,8,6,,,,,False,False,https://www.amazon.ca/dp/B074JCV2QL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
65,Asus TUF X299 MARK 1,$302.42 USD,Asus,TUF X299 MARK 1,889349774380,889349774380.0,2066,X299,True,ATX,DDR4,128 GB,8,8,,,,,False,False,https://www.amazon.ca/TUF-X299-Mark-Motherboard-Processors/dp/B071JBX9GN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JBX9GN
70,Gigabyte Aorus X399 Gaming 7,$386.78 USD,Gigabyte,X399 AORUS Gaming 7,4719331801939,889523010983.0,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B0746CT3Y5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
71,Gigabyte Aorus Z270X-Gaming 5,$204.87 USD,Gigabyte,GA-Z270X-Gaming 5,4719331841386,889523007594.0,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/Gigabyte-GA-Z270X-Gaming-AORUS-Motherboard-LGA1151/dp/B01N97T4YR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N97T4YR
72,Gigabyte Aorus Z270X-Gaming 9,$143.68 USD,Gigabyte,GA-Z270X-Gaming 9,4719331846374,889523007891.0,1151,Z270,True,E-ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI
73,Gigabyte B250M-DS3H,$63.18 USD,Gigabyte,GA-B250M-DS3H,4719331847265,889523007938.0,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-GA-B250M-DS3H-LGA1151-Intel-Motherboard/dp/B01N2WG23X?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2WG23X
74,Gigabyte B360 HD3,$91.34 USD,Gigabyte,B360 HD3,4719331802981,889523013106.0,1151,B360,False,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-B360-HD3-LGA1151-Motherboard/dp/B07BQB1CMX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQB1CMX
76,Gigabyte B360M D3H,$79.04 USD,Gigabyte,B360M D3H,4719331802790,889523012611.0,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-B360M-D3H-LGA1151-Motherboard/dp/B07BQ226PS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ226PS
77,Gigabyte B360M DS3H,$76.16 USD,Gigabyte,B360M DS3H,4719331802806,889523012635.0,1151,B360,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-B360M-DS3H-LGA1151-Motherboard/dp/B07BQ9SSH7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ9SSH7
79,Gigabyte B365M DS3H,$257.42 USD,Gigabyte,B365M DS3H,4719331805579,889523017203.0,1151,B365,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B08BSLZDWS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
81,"Gigabyte B450 Aorus M, AMD B450",$71.8 USD,Gigabyte,B450 AORUS M,4719331803858,889523014387.0,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07FWY246F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
84,Gigabyte F2A88XN-WIFI,$68.18 USD,Gigabyte,GA-F2A88XN-WIFI,4719331839093,168141508271.0,FM2+,A88X,False,Mini-ITX,DDR3,64 GB,2,4,0,1.0,0.0,2.0,True,False,https://www.amazon.ca/Gigabyte-GA-78LMT-USB3-DDR3-Micro-Motherboard/dp/B009FC3YJ8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009FC3YJ8
88,Gigabyte H270M-DS3H,$108.02 USD,Gigabyte,GA-H270M-DS3H,4719331847333,889523008621.0,1151,H270,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-GA-H270-HD3-LGA1151-Crossfire-Motherboard/dp/B01N2V0ATE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2V0ATE
89,Gigabyte Q270M-D3H,$45.0 USD,Gigabyte,GA-Q270M-D3H,4719331849290,889523009024.0,1151,Q270,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B06XPVGQKY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
90,"Gigabyte X570 Aorus Elite, AMD X570",$179.89 USD,Gigabyte,X570 Aorus Elite,4719331806439,889523018101.0,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07SVRZGMX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
91,"Gigabyte X570 Aorus Pro, AMD X570",$253.87 USD,Gigabyte,X570 Aorus Pro,4719331805999,889523017876.0,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-X570-AORUS-ALC1220-Vb-Motherboard/dp/B07STNZF9L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07STNZF9L
92,"Gigabyte X570 Gaming X, AMD X570",$158.86 USD,Gigabyte,X570 Gaming X,4719331806422,889523018026.0,AM4,X570,True,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07SQJZDTX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
93,"Gigabyte X570 I Aorus Pro WiFi, AMD X570",$202.38 USD,Gigabyte,X570 I Aorus Pro WiFi,4719331806408,889523018040.0,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,0.0,False,False,https://www.amazon.ca/dp/B07T9PC9ZZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
95,Gigabyte X99-UD3,$211.06 USD,Gigabyte,GA-X99-UD3,4719331833213,818313021595.0,2011-V3,X99,False,ATX,DDR4,32 GB,4,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B00MPIDPE8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
97,Gigabyte Z270-Gaming K3,$211.07 USD,Gigabyte,GA-Z270-Gaming K3,4719331845377,889523007754.0,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/Gigabyte-LGA1151-Motherboards-GA-Z270X-Gaming-K7/dp/B01NBFZUUO?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBFZUUO
98,Gigabyte Z270-HD3P,$108.8 USD,Gigabyte,GA-Z270-HD3P,4719331846411,889523008454.0,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/Gigabyte-GA-Z270-HD3-LGA1151-Crossfire-Motherboard/dp/B01NAK6CG2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAK6CG2
100,Gigabyte Z270X-Ultra Gaming,$143.68 USD,Gigabyte,GA-Z270X-Ultra Gaming,4719331845384,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI
101,Gigabyte Z270XP-SLI,$148.75 USD,Gigabyte,GA-Z270XP-SLI,4719331845353,889523007716.0,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/GIGABYTE-GA-Z270XP-SLI-LGA1151-Intel-Motherboard/dp/B01N1T2WXL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1T2WXL
103,Gigabyte Z390 I Aorus Pro WiFi,$194.39 USD,Gigabyte,Z390 I AORUS PRO WIFI,4719331804527,889523015124.0,1151,Z390,False,Mini-ITX,DDR4,32 GB,2,4,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B07JBX52TM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
104,Gigabyte Z390 UD,$93.56 USD,Gigabyte,Z390 UD,4719331804411,889523015032.0,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HS59X7P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
122,MSI B350 Tomahawk,$109.29 USD,MSI,7A36-002R,4719072509576,824142142974.0,AM4,B350,True,ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/msi-B350-TOMAHAWK-Tomahawk-Motherboard/dp/B06WVFFXXL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WVFFXXL
123,MSI B360M Mortar,$101.28 USD,MSI,7B23-001R,4719072562830,824142159453.0,1151,B360,False,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07BZ3NDY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
125,"MSI B450 Gaming Plus Max, AMD B450",$159.57 USD,MSI,7B86-016R,4719072658557,824142189696.0,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B08JNKRDR7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
126,MSI B450 Tomahawk,$126.09 USD,MSI,7C02-002R,4719072587048,824142167946.0,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07F7W5KJS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
127,MSI B450 Tomahawk Max,$94.28 USD,MSI,7C02-020R,4719072659226,,AM4,B450,True,ATX,DDR4, GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07WF6ZQST?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
128,MSI B450-A Pro,$87.04 USD,MSI,7B86-001R,4719072587079,824142167922.0,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/MSI-ProSeries-Crossfire-Motherboard-PRO/dp/B07F85YW8R?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07F85YW8R
129,MSI B450I Gaming Plus AC,$78.97 USD,MSI,7A40-004R,4719072587000,824142168066.0,AM4,B450,True,Mini-ITX,DDR4,64 GB,4,4,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B07F83RY49?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
135,"MSI B450M Pro-VDH Max, AMD B450-, socket AM4",$64.54 USD,MSI,7A38-043R,4719072665968,824142194430.0,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07XH629TV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
142,MSI MAG B660M MORTAR WIFI DDR4,$181.34 USD,MSI,7D42-004R,4719072907907,824142274934.0,1700,B660,False,Micro-ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B09PXD16F6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
148,MSI PRO B660-A DDR4,$152.32 USD,MSI,7D59-001R,4719072912451,824142276174.0,1700,B660,False,Micro-ATX,DDR4,128 GB,4,4,0,0.0,2.0,2.0,False,False,https://www.amazon.ca/dp/B09PXGNVD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
152,MSI Pro Z690-A DDR4,$193.66 USD,MSI,7D25-002R,4719072886622,824142269831.0,1700,Z690,True,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B09GLD6LYW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
154,MSI X399 Gaming Pro Carbon AC,$395.32 USD,MSI,7B09-010R,4719072535803,824142151051.0,TR4,X399,True,ATX,DDR4,128 GB,8,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ThreadRipper-Extended-ATX-Motherboard-X399-PRO/dp/B074DHQR9N?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074DHQR9N
172,ASRock 760GM-HDV,$63.15 USD,ASRock,90-MXB7U0-A0UAYZ,4717677335880,,AM3+,760G,False,Micro-ATX,DDR3,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07DR76TPW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
180,ASRock A320M Pro4,$78.96 USD,ASRock,90-MXB540-A0UAYZ,4717677333183,,AM4,A320,False,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/ASRock-A320M-PRO4-Motherboard/dp/B06XNX9VMZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XNX9VMZ
183,ASRock A320M-DGS,$57.41 USD,ASRock,90-MXB5A0-A0UAYZ,4717677333237,,AM4,A320,False,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-A320M-DGS-Motherboard/dp/B06XKXKMYB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XKXKMYB
186,ASRock A520M-HDV,$69.22 USD,ASRock,90-MXBE50-A0UAYZ,4710483932267,,AM4,A520,False,Micro-ATX,DDR4,64 GB,2,4,1,1.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B08G1Y95SZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
188,ASRock A520M-ITX/AC,$121.41 USD,ASRock,90-MXBDG0-A0UAYZ,4710483932045,,AM4,A520,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B08G1WLVR2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
189,"ASRock AB350 Pro4 BTC, AMD B350",$98.78 USD,ASRock,90-MXB510-A0UAYZ,4717677333169,,AM4,B350,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-AB350-PRO4-ATX-Motherboard/dp/B06WWF165R?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WWF165R
192,ASRock AB350M-HDV,$68.9 USD,ASRock,90-MXB3P0-A0UAYZ,4717677333213,,AM4,B350,True,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-AB350M-HDV-Socket-MicroATX-Motherboard/dp/B06WWC7BTJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WWC7BTJ
197,ASRock B250M Pro4,$84.86 USD,ASRock,90-MXB3C0-A0UAYZ,4717677332544,,1151,B250,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-B250M-PRO4/dp/B01N0LMLMM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N0LMLMM
198,ASRock B250M-HDV,$68.17 USD,ASRock,90-MXB3J0-A0UAYZ,4717677332285,,1151,B250,False,Micro-ATX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-B250M-HDV-LGA1151-MicroATX-Motherboard/dp/B01N9BY912?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N9BY912
200,ASRock B360M-HDV,$79.05 USD,ASRock,90-MXB730-A0UAYZ,4717677335156,,1151,B360,False,Micro-ATX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-B360M-HDV-CrossFireX-MicroATX-Motherboards/dp/B07BMVGW1Q?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVGW1Q
201,"ASRock B450 Gaming ITX/ac, AMD B450",$119.68 USD,ASRock,90-MXB870-A0UAYZ,4717677336238,,AM4,B450,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07FVVNDFX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
202,"ASRock B450 Gaming K4, AMD B450",$90.66 USD,ASRock,90-MXB8A0-A0UAYZ,4717677336245,,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07FW5ZMHQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
