,Unnamed: 0.1,Unnamed: 0,Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Product Page
10,10,187,Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,$1305.67 USD,Gigabyte,GV-N308TEAGLE OC-12GD,4719331308827,889523027943.0,320 mm,2.7,2,0,2,3,0,0,1680 MHz,12 GB,19000 MHz,320 W,https://www.amazon.ca/dp/B083HZCPGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
11,11,193,Gigabyte GeForce RTX 3090 Ti Gaming OC,$1718.23 USD,Gigabyte,GV-N309TGAMING OC-24GD,4719331310653,889523031780.0,331 mm,3.5,0,0,1,3,0,0,1905 MHz,24 GB,,450 W,https://www.amazon.ca/dp/B09XJCNYT8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
12,12,195,GIGABYTE GeForce RTX 4060 Ti Eagle,$398.22 USD,Gigabyte,GV-N406TEAGLE-8GD,4719331313401,889523037997.0,272 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W,https://www.amazon.ca/dp/B0C5BQ1HM6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
13,13,197,GIGABYTE GeForce RTX 4060 Ti Gaming OC,$435.22 USD,Gigabyte,GV-N406TGAMING OC-8GD,4719331313456,889523038093.0,281 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W,https://www.amazon.ca/dp/B0C5B9M9JY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
14,14,200,GIGABYTE GeForce RTX 4070 Gaming OC,$629.62 USD,Gigabyte,GV-N4070GAMING OC-12GD 1.0,4719331312947,889523037010.0,300 mm,3.0,0,0,1,3,0,0,2565 MHz,12 GB,21000 MHz,200 W,https://www.amazon.ca/dp/B0BZHBRQCQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
15,15,208,GIGABYTE GeForce RTX 4080 Eagle OC,$1160.59 USD,Gigabyte,GV-N4080EAGLE OC-16GD,4719331311506,,342 mm,3.0,0,0,1,3,0,0,2520 MHz,16 GB,22400 MHz,320 W,https://www.amazon.ca/dp/B0BLT4ZMGL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
16,16,210,Gigabyte Radeon RX 6500 XT Eagle,$216.87 USD,Gigabyte,GV-R65XTEAGLE-4GD,4719331310554,889523031247.0,192 mm,2.0,0,1,1,1,0,0,2815 MHz,4 GB,,107 W,https://www.amazon.ca/dp/B09QV67R17?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
17,17,219,Gigabyte Radeon RX 6700 XT Eagle,$454.3 USD,Gigabyte,GV-R67XTEAGLE-12GD,4719331308629,889523027288.0,282 mm,2.0,1,1,2,2,0,0,2581 MHz,12 GB,8000 MHz,230 W,https://www.amazon.ca/dp/B08Z4J6NHW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
18,18,221,Gigabyte Radeon RX 6700 XT Gaming OC,$948.74 USD,Gigabyte,GV-R67XTGAMING OC-12GD,4719331308612,889523027271.0,281 mm,2.5,1,1,2,2,0,0,2622 MHz,12 GB,8000 MHz,230 W,https://www.amazon.ca/dp/B08Z5M4KFM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
19,19,224,Gigabyte Radeon RX 6800 XT Gaming OC,$870.44 USD,Gigabyte,GV-R68XTGAMING OC-16GD,4719331307998,889523025628.0,286 mm,3.0,2,0,2,2,0,0,2285 MHz,16 GB,,300 W,https://www.amazon.ca/dp/B08PFX6PZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
20,20,294,MSI GeForce RTX 3050 Aero ITX 8G OC,$232.2 USD,MSI,V809-4041R,4719072943301,,172 mm,2.0,1,0,1,3,0,0,1845 MHz,8 GB,4 MHz,130 W,https://www.amazon.ca/dp/B09R1PXJTZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
21,21,295,MSI GeForce RTX 3050 Gaming X,$250.47 USD,MSI,V397-421R,4719072935092,824142280850.0,278 mm,2.5,1,0,1,3,0,0,MHz,8 GB,4 MHz,130 W,https://www.amazon.ca/dp/B09QB28Y5M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
22,22,297,MSI GeForce RTX 3050 Ventus 2X 8G OC,$216.87 USD,MSI,V397-418R,4719072939953,824142281987.0,235 mm,2.0,1,0,1,3,0,0,MHz,8 GB,4 MHz,130 W,https://www.amazon.ca/dp/B09Q9SX3NY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
23,23,298,MSI GeForce RTX 3060 Gaming X,$380.81 USD,MSI,V397-019R,4719072796327,824142241417.0,276 mm,2.5,1,1,1,3,0,0,1837 MHz,12 GB,7500 MHz,170 W,https://www.amazon.ca/dp/B08WPJ5P4R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
24,24,301,MSI GeForce RTX 3060 Ti Gaming X 8G LHR,$507.76 USD,MSI,V397-231R,4719072850029,824142259276.0,278 mm,2.5,1,1,1,3,0,0,1770 MHz,8 GB,14000 MHz,220 W,https://www.amazon.ca/dp/B0995TBTLS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
25,25,304,MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR,$456.98 USD,MSI,V397-232R,4719072852061,824142259351.0,235 mm,2.0,2,0,1,3,0,0,1695 MHz,8 GB,14000 MHz,200 W,https://www.amazon.ca/dp/B099N59B14?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
26,26,308,MSI GeForce RTX 3060 Ventus 2X,$290.14 USD,MSI,V397-022R,4719072793814,824142240106.0,235 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://www.amazon.ca/dp/B08WPRMVWB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
27,27,309,MSI GeForce RTX 3060 Ventus 3X OC,$290.14 USD,MSI,V397-031R,4719072793821,824142240113.0,316 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://www.amazon.ca/dp/B08WTFG5BX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
28,28,311,MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,$680.69 USD,MSI,V390-264R,4719072850784,824142259283.0,323 mm,2.7,2,0,1,3,0,0,MHz,8 GB,14000 MHz,240 W,https://www.amazon.ca/dp/B097MYTZMW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
29,29,313,MSI GeForce RTX 3070 Ti Gaming X Trio,$716.38 USD,MSI,V505-009R,4719072843120,824142255797.0,323 mm,2.75,2,0,1,3,0,0,1830 MHz,8 GB,19000 MHz,310 W,https://www.amazon.ca/dp/B096HJC18P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
30,30,316,MSI GeForce RTX 3070 Ti Ventus 3X 8G OC LHR,$660.08 USD,MSI,V505-007R,4719072844028,824142256039.0,316 mm,2.75,2,0,1,3,0,0,1800 MHz,8 GB,19000 MHz,290 W,https://www.amazon.ca/dp/B096HQC9Y5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
31,31,319,MSI GeForce RTX 3070 Ventus 3X Plus 8G OC LHR,$565.79 USD,MSI,V390-457R,4719072858926,824142261385.0,305 mm,2.5,2,0,1,3,0,0,MHz,8 GB,14000 MHz,220 W,https://www.amazon.ca/dp/B0B95JBBZ3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
32,32,321,MSI GeForce RTX 3080 Gaming Z Trio 10G LHR,$761.64 USD,MSI,V389-203R,4719072852160,824142259436.0,323 mm,2.75,3,0,1,3,0,0,1830 MHz,10 GB,19000 MHz,370 W,https://www.amazon.ca/dp/B0995S7548?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
33,33,323,MSI GeForce RTX 3080 Ti Gaming X Trio,$1301.48 USD,MSI,V389-058R,4719072824969,824142251188.0,324 mm,2.75,3,0,1,3,0,0,1770 MHz,12 GB,19000 MHz,350 W,https://www.amazon.ca/dp/B095VZ6F73?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
34,34,329,MSI GeForce RTX 3080 Ventus 3X Plus 10G OC LHR,$810.24 USD,MSI,V389-263R,4719072874452,824142266687.0,305 mm,2.7,2,0,1,3,0,0,1740 MHz,10 GB,19000 MHz,320 W,https://www.amazon.ca/dp/B09FSWGS7L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
35,35,334,MSI GeForce RTX 3090 Ti Gaming X Trio,$1885.97 USD,MSI,V509-014R,4719072939977,824142281215.0,325 mm,3.5,0,0,1,3,0,0,MHz,24 GB,,450 W,https://www.amazon.ca/dp/B09R9G57GK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
36,36,335,MSI GeForce RTX 3090 Ti Suprim X,$1269.4 USD,MSI,V509-003R,4719072931599,824142280324.0,325 mm,3.5,0,0,1,3,0,0,1950 MHz,24 GB,,480 W,https://www.amazon.ca/dp/B09R9JPVK9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
37,37,337,MSI GeForce RTX 4060 Gaming X,$304.64 USD,MSI,V516-003R,4711377115476,824142330296.0,247 mm,2.5,1,0,1,3,0,0,2595 MHz,8 GB,17000 MHz,115 W,https://www.amazon.ca/dp/B0C8T81QNN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
38,38,338,MSI GeForce RTX 4060 Ti Gaming X,$427.96 USD,MSI,V515-015R,4711377102544,824142325629.0,247 mm,2.0,1,0,1,3,0,0,2640 MHz,8 GB,18000 MHz,160 W,https://www.amazon.ca/dp/B0C5C5LR3J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
39,39,340,MSI GeForce RTX 4060 Ti Ventus 2X Black 8G OC,$509.98 USD,MSI,V515-017R,4711377102582,,199 mm,2.5,1,0,1,3,0,0,2565 MHz,8 GB,18000 MHz,160 W,https://www.amazon.ca/dp/B0C4F7KX1B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
40,40,345,MSI GeForce RTX 4070 Ventus 3X 12G OC,$609.31 USD,MSI,V513-057R,4711377087810,824142319932.0,308 mm,2.25,1,0,1,3,0,0,2505 MHz,12 GB,21000 MHz,200 W,https://www.amazon.ca/dp/B0BZB6WJZJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
41,41,347,MSI GeForce RTX 4080 Suprim X,$1436.24 USD,MSI,V511-004R,4711377027205,824142306338.0,336 mm,3.5,0,0,1,3,0,0,MHz,16 GB,22400 MHz,320 W,https://www.amazon.ca/dp/B0BL5WWRTG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
42,42,350,MSI Radeon RX 6500 XT Mech 2X OC,$194.13 USD,MSI,V508-003R,4719072929985,824142279465.0,172 mm,2.0,0,1,1,1,0,0,2825 MHz,4 GB,,107 W,https://www.amazon.ca/dp/B09Q9CQ9PG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
43,43,351,MSI Radeon RX 6600 Mech 2X,$290.14 USD,MSI,V502-035R,4719072882938,824142269091.0,235 mm,2.3,1,0,1,3,0,0,2491 MHz,8 GB,,132 W,https://www.amazon.ca/dp/B09HXLMG2L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
44,44,353,MSI Radeon RX 6600 XT Mech 2X,$340.92 USD,MSI,V502-004R,4719072860837,824142261408.0,235 mm,2.0,1,0,1,3,0,0,MHz,8 GB,16000 MHz,160 W,https://www.amazon.ca/dp/B09BK8NCPB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
45,45,354,MSI Radeon RX 6650 XT Gaming X,$347.44 USD,MSI,V502-063R,4719072965433,824142290231.0,278 mm,2.5,1,0,3,1,0,0,2694 MHz,8 GB,,180 W,https://www.amazon.ca/dp/B09YHWCNCH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
46,46,355,MSI Radeon RX 6650 XT Mech 2X 8G OC,$224.13 USD,MSI,V502-064R,4719072965440,824142290248.0,235 mm,2.5,1,0,3,1,0,0,2635 MHz,8 GB,,180 W,https://www.amazon.ca/dp/B09YHXT12P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
47,47,356,MSI Radeon RX 6700 XT Gaming X,$528.28 USD,MSI,V398-007R,4719072806637,824142245187.0,279 mm,3.0,2,0,1,3,0,0,MHz,12 GB,8000 MHz,230 W,https://www.amazon.ca/dp/B08Z72P3R9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
48,48,357,MSI Radeon RX 6700 XT Mech 2X,$500.7 USD,MSI,V398-005R,4719072806620,824142245170.0,247 mm,2.5,2,0,1,3,0,0,2581 MHz,12 GB,,230 W,https://www.amazon.ca/dp/B08Z84S3K6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
49,49,359,MSI Radeon RX 6750 XT Gaming X Trio,$420.71 USD,MSI,V399-003R,4719072961510,824142288757.0,327 mm,2.7,2,0,1,3,0,0,2618 MHz,12 GB,,250 W,https://www.amazon.ca/dp/B09YHTMKL2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
50,50,360,MSI Radeon RX 6750 XT Mech 2X 12G OC,$383.71 USD,MSI,V399-004R,4719072961527,824142288764.0,249 mm,2.7,2,0,1,3,0,0,2618 MHz,12 GB,,250 W,https://www.amazon.ca/dp/B09YHW8C7Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
51,51,365,MSI Radeon RX 6800 XT Gaming Z Trio,$870.44 USD,MSI,V395-013R,4719072816186,824142248898.0,324 mm,2.75,3,0,1,3,0,0,2310 MHz,16 GB,,300 W,https://www.amazon.ca/dp/B09S596QVD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
52,52,368,MSI Radeon RX 6950 XT Gaming X Trio,$926.53 USD,MSI,V395-042R,4719072964573,824142288870.0,325 mm,3.0,3,0,1,3,0,0,2454 MHz,16 GB,,340 W,https://www.amazon.ca/dp/B09YHXFD19?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
53,53,369,MSI Radeon RX 7600 Mech 2X Classic 8G OC,$253.14 USD,MSI,V502-094R,4711377102513,824142325810.0,235 mm,,1,0,1,3,0,0,2695 MHz,8 GB,18000 MHz,165 W,https://www.amazon.ca/dp/B0C5BNC4KR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
54,54,374,PNY GeForce RTX 3090 XLR8 Gaming EPIC-X RGB,$1717.88 USD,PNY,VCG309024TFXPPB,751492639543,,294 mm,2.75,2,0,1,3,0,0,MHz,24 GB,19500 MHz,350 W,https://www.amazon.ca/dp/B08HBQWBHH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
55,55,375,PNY GeForce RTX 4080 XLR8 Gaming VERTO Edition,$1175.1 USD,PNY,VCG408016TFXXPB1,751492756400,,332 mm,3.5,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W,https://www.amazon.ca/dp/B0BG95T5WD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
56,56,376,PNY GeForce RTX 4080 XLR8 Gaming VERTO OC Edition,$1196.86 USD,PNY,VCG408016TFXXPB1-O,751492761220,,332 mm,3.5,0,0,1,3,0,0,2550 MHz,16 GB,22400 MHz,320 W,https://www.amazon.ca/dp/B0BKGXLB13?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
57,57,377,PNY GeForce RTX 4080 XLR8 Gaming VERTO Triple Fan Edition,$1232.25 USD,PNY,VCG408016TFXPB1,751492761251,,336.9 mm,3.0,0,0,1,3,0,0,2505 MHz,16 GB,22400 MHz,320 W,https://www.amazon.ca/dp/B0BKGWJRFF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
58,58,392,Sapphire Pulse Radeon RX 6500 XT Gaming OC,$197.72 USD,SAPPHIRE,11314-01-20G,4895106292086,840777087398.0,194 mm,2.0,0,1,1,1,0,0,2825 MHz,4 GB,,107 W,https://www.amazon.ca/dp/B09PZJ2JNZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
59,59,401,Sapphire Pulse Radeon RX 7600 Gaming,$275.64 USD,SAPPHIRE,11324-01-20G,4895106293618,840777089019.0,240 mm,2.0,1,0,1,3,0,0,2754 MHz,8 GB,18000 MHz,165 W,https://www.amazon.ca/dp/B0C4WBW3XX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
60,60,417,ZOTAC GAMING GeForce RTX 3060 Twin Edge OC,$340.92 USD,ZOTAC,ZT-A30600H-10M,4895173622830,810012082099.0,225 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://www.amazon.ca/dp/B08W8DGK3X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
61,61,440,ZOTAC Gaming GeForce RTX 4060 Ti Twin Edge OC SPIDER-MAN™ Across the Spider-Verse,$413.46 USD,ZOTAC,ZT-D40610H-10SMP,4895173626982,,225.5 mm,2.2,1,0,1,3,0,0,2550 MHz,8 GB,18000 MHz,160 W,https://www.amazon.ca/dp/B0C5DV69X3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
62,62,459,Asus AREZ PH RX 550 2G,$112.43 USD,ASUS,AREZ-PH-RX550-2G,192876023402,192876023402.0,192 mm,2.0,0,0,1,1,1,0,1071 MHz,2 GB,6000 MHz,50 W,https://www.amazon.ca/ASUS-AREZ-PH-RX550-2G-GDDR5-Graphics-Cards/dp/B07DTYNYR1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07DTYNYR1
63,63,460,Asus CERBERUS GTX 1050 O2G,$154.5 USD,ASUS,CERBERUS-GTX1050-O2G,889349927366,889349927366.0,203 mm,2.0,0,0,1,1,1,0,1544 MHz,2 GB,7008 MHz,75 W,https://www.amazon.ca/Geforce-Gaming-Graphics-Graphic-CERBERUS-GTX1050-O2G/dp/B079NYSHB4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079NYSHB4
64,64,461,Asus CERBERUS GTX 1050TI O4G,$205.64 USD,ASUS,CERBERUS-GTX1050TI-O4G,889349927298,889349927298.0,203 mm,2.0,0,0,1,1,1,0,1480 MHz,4 GB,7008 MHz,75 W,https://www.amazon.ca/Cerberus-GeForce%C2%AE-Gaming-Graphics-Cerberus-GTX1050Ti-O4G/dp/B079JSKCW3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079JSKCW3
65,65,463,Asus DUAL GTX 1060 O3G,$235.01 USD,ASUS,DUAL-GTX1060-O3G,779184783312,889349487716.0,242 mm,2.1,0,1,2,2,1,0,1809 MHz,3 GB,8008 MHz,120 W,https://www.amazon.ca/ASUS-GeForce-Dual-Fan-Graphics-DUAL-GTX1060-O3G/dp/B01KMVHB6M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KMVHB6M
66,66,464,Asus DUAL GTX 1060 O6G,$268.53 USD,ASUS,DUAL-GTX1060-O6G,889349476086,889349476086.0,242 mm,2.1,0,1,2,2,1,0,1809 MHz,6 GB,8008 MHz,120 W,https://www.amazon.ca/GeForce-Dual-fan-Gaming-Graphics-DUAL-GTX1060-O6G/dp/B01JHQT1SE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JHQT1SE
67,67,465,Asus DUAL RX 580 O4G,$236.31 USD,ASUS,DUAL-RX580-O4G,889349731666,889349731666.0,242 mm,1.0,1,0,2,2,1,0,1380 MHz,4 GB,7000 MHz,185 W,https://www.amazon.ca/dp/B071CMPRZZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
68,68,466,Asus DUAL RX 580 O8G,$242.26 USD,ASUS,DUAL-RX580-O8G,190198470690,889349735459.0,242 mm,1.0,1,0,2,2,1,0,1380 MHz,8 GB,MHz,185 W,https://www.amazon.ca/dp/B071L1VGQW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
69,69,480,ASUS GeForce GTX 1050 Ti PH,$188.59 USD,ASUS,90YV0A70-M0NA00,4712900570175,889349570173.0,212 mm,2.0,0,0,0,0,0,0,1392 MHz,4 GB,4 MHz,75 W,https://www.amazon.ca/dp/B01M360WG6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
70,70,482,ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,$188.59 USD,ASUS,90YV0A30-M0NA00,4712900578126,,241 mm,2.0,0,1,0,0,0,0,1493 MHz,4 GB,4 MHz,75 W,https://www.amazon.ca/Geforce-1050Ti-Graphics-STRIX-GTX1050TI-O4G-GAMING-Graphic/dp/B01MG9AKKZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MG9AKKZ
71,71,492,ASUS GeForce GTX 1070 Dual O8G,$403.44 USD,ASUS,90YV09T1-M0NA00,4712900478716,889349478714.0,240 mm,2.0,1,0,0,0,0,0,1771 MHz,8 GB,4 MHz,150 W,https://www.amazon.ca/GeForce-Dual-fan-Gaming-Graphics-DUAL-GTX1070-8G/dp/B01JHQSZ5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JHQSZ5Y
72,72,494,ASUS GeForce GTX 1070 STRIX 8G Gaming,$580.29 USD,ASUS,90YV09N2-M0NA00,4712900455052,,298 mm,2.0,1,0,0,0,0,0,1683 MHz,8 GB,4 MHz,150 W,https://www.amazon.ca/ASUS-GeForce-Strix-Graphic-STRIX-GTX1070-8G-GAMING/dp/B01HMDRY7E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HMDRY7E
73,73,496,ASUS GeForce GTX 1070 Ti Cerberus A8G,$541.21 USD,ASUS,90YV0BJ1-M0NA00,4712900910179,889349910177.0,270 mm,2.5,1,0,0,0,0,0,1683 MHz,8 GB,2 MHz,180 W,https://www.amazon.ca/Cerberus-GeForce%C2%AE-Advanced-Graphics-CERBERUS-GTX1070TI-A8G-GAMING/dp/B077XFDLQ1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077XFDLQ1
74,74,501,ASUS GeForce GTX 1080 STRIX 8G Gaming,$543.48 USD,ASUS,90YV09M1-M0NM00,4712900442250,,298 mm,2.0,1,1,0,0,0,0,1733 MHz,8 GB,5 MHz,180 W,https://www.amazon.ca/ASUS-GeForce-STRIX-Graphics-STRIX-GTX1080-8G-GAMING/dp/B01GRRRW0A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GRRRW0A
75,75,511,"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",$203.82 USD,ASUS,90YV0CV2-M0NA00,4718017295734,,204 mm,2.0,0,0,1,1,1,0,1755 MHz,4 GB,8000 MHz,75 W,https://www.amazon.ca/dp/B07QKGDDJD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
76,76,513,"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",$187.86 USD,ASUS,90YV0CV0-M0NA00,4718017295772,,190 mm,2.0,0,0,1,1,1,0,1710 MHz,4 GB,8000 MHz,75 W,https://www.amazon.ca/dp/B07QJDT7GR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
77,77,528,ASUS GeForce GTX 1660 Super Dual O6G Evo,$255.84 USD,ASUS,90YV0DS3-M0NA00,4718017504744,,242 mm,2.75,1,0,1,1,1,0,MHz,6 GB,14002 MHz,125 W,https://www.amazon.ca/dp/B07ZHWQ81N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
