,Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
176,ASUS TUF Gaming VG27AQ,$290.14 USD,ASUS,90LM0500-B01370,4718017296762,,2560 x 1440,144 Hz,"27""",IPS,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07WQ4FXY9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
178,ASUS TUF Gaming VG27BQ,$289.41 USD,ASUS,90LM04Z0-B01370,4718017296779,,2560 x 1440,144 Hz,"27""",TN,[],0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/dp/B07WPFP6S4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
187,ASUS VE247H,$112.43 USD,ASUS,90LMC2101Q01041C,4719543331521,,1920 x 1080,60 Hz,"24""",TN,2,1,0,1,1,True,False,False,,https://www.amazon.ca/dp/B004EFUOY4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
192,ASUS VG248QE,$257.5 USD,ASUS,90LMGG301Q022E1C-,4716659325178,886227325177.0,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,False,,https://www.amazon.ca/VG248QE-1920x1080-144Hz-Gaming-Monitor/dp/B00B19T7QC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00B19T7QC
197,ASUS VG259QM,$325.69 USD,ASUS,90LM0530-B02370,4718017571319,,1920 x 1080,280 Hz,"24.5""",IPS,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B0876KP2CK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
198,ASUS VG275Q,$204.55 USD,ASUS,90LM03K0-B01370,4712900701777,,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B071KHHDNK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
201,ASUS VG278QR,$217.61 USD,ASUS,90LM03P3-B01370,4718017122795,,1920 x 1080,165 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B07XV1519W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
231,ASUSTUF Gaming VG289Q1A,$108.8 USD,ASUS,90LM05B0-B02170,4718017953443,,3840 × 2160,60 Hz,"28""",IPS,5,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08LCN9PGW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
234,BenQ SW2700PT,$580.29 USD,BenQ,9H.LDKLB.QBE,4718755059551,,2560 x 1440,60 Hz,"27""",IPS,5,1,1,1,0,False,False,True,,https://www.amazon.ca/dp/B012UNOCJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
237,EIZO ColorEdge CG2420,$1718.68 USD,EIZO,CG2420,4995047048084,690592041118.0,1920 x 1200,60 Hz,"24""",IPS,10,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01BUILA5E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
239,EIZO ColorEdge CG277-BK,$2360.5 USD,EIZO,CG277-BK,4995047044352,,2560 x 1440,60 Hz,"27""",IPS,6,0,0,0,0,False,False,True,,https://www.amazon.ca/EIZO-CG277-BK-ColorEdge-Professional-Graphics/dp/B00IT5XKX2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IT5XKX2
242,EIZO FlexScan EV2450-BK,$409.11 USD,EIZO,EV2450-BK,4995047045564,690592038590.0,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B00NF3EMNA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
280,HP Pavilion 32,$348.17 USD,HP,4WH45AA#ABB,193015261624,,2560 x 1440,60 Hz,"31.5""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07PDMYM5K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
281,HP Pavilion Gaming 25x 62,$223.3 USD,HP,3WL50AA#ABB,192545252577,,1920 x 1080,144 Hz,"24.5""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FJZ9J4F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
282,HP Pavilion Gaming 27xq 68,$355.5 USD,HP,3WL54AA#ABB,192545213608,,2560 x 1440,144 Hz,"27""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07FCHFH3Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
283,HP Pavilion Gaming 32 HDR,$435.22 USD,HP,3BZ12AA#ABB,192545588386,,2560 x 1440,122 Hz,"32""",VA,5,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07CMK62BG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
294,LG 24BK550Y-B,$141.44 USD,LG,24BK550Y-B.AEU,8806084080233,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01N9Z9SFO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
298,LG 24GL600F-B,$145.07 USD,LG,24GL600F-B,8806098421145,,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,False,False,False,,https://www.amazon.ca/LG-Ultragear-24GL600F-B-FreeSync-Technology/dp/B07NHSJ1RF?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NHSJ1RF
299,LG 24GM79G-B,$203.09 USD,LG,24GM79G-B.AEU,8806084472786,,1920 x 1080,144 Hz,"24""",TN,1,1,1,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B06Y634VP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
309,LG 27UD88-W,$577.15 USD,LG,27UD88-W.AEU,8806087593259,,3840 × 2160,60 Hz,"27""",IPS,5,1,1,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B01CDYB0QS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
310,LG 27UK850-W,$408.44 USD,LG,27UK850-W,8806098110322,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-27UK850-W-Monitor-Connectivity-FreeSync/dp/B078GVTD9N?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078GVTD9N
311,LG 27UL850-W,$505.29 USD,LG,27UL850-W,8806098420957,,3840 × 2160,60 Hz,"27""",IPS,4,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07MKT1W65?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
312,LG 29UM69G,$203.09 USD,LG,29UM69G,8806087300130,,2560 x 1080,122 Hz,"29""",IPS,5,2,1,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B06Y634VP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
315,LG 32UK550-B,$311.9 USD,LG,32UK550-B,8806098343171,,3840 × 2160,60 Hz,"31.5""",VA,4,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/LG-32UK550-B-Monitor-Freesync-Technology/dp/B07NFTWHSG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NFTWHSG
317,LG 34GK950F-B,$870.44 USD,LG,34GK950F-B,8806098251223,,3440 x 1440,144 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34GK950F-B-34-21-Ultragear/dp/B0798Q8KG4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0798Q8KG4
322,LG 34UM69G,$304.65 USD,LG,34UM69G-B,8806087301045,,2560 x 1080,122 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34UM69G-B-34-UltraWide-Reduction/dp/B06XFXX5JH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XFXX5JH
325,LG 34WK650-W,$326.41 USD,LG,34WK650-W,8806098110469,,2560 x 1080,122 Hz,"34""",IPS,5,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/LG-Electronics-34WK650-W-Ultra-Monitor/dp/B078GSH1LV?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078GSH1LV
326,LG 34WK95C-W,$880.12 USD,LG,34WK95C-W,8806098251377,,3440 x 1440,60 Hz,"34""",IPS,5,0,0,0,0,True,True,True,FreeSync,https://www.amazon.ca/LG-34WK95C-W-Ultrawide-Monitor-Display/dp/B07MRKX5WW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MRKX5WW
339,LG UltraGear 27UL650-W,$282.16 USD,LG,27UL650-W,8806098421053,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07MKT2BNB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
342,LG UltraGear 34GL750-B,$435.22 USD,LG,34GL750-B,8806098532995,,2560 x 1080,144 Hz,"34""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/LG-34GL750-inch-21-Ultragear/dp/B07R5R9VR9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07R5R9VR9
362,Philips 243V7QDSB,$68.9 USD,Philips,243V7QDSB,8712581742331,,1920 x 1080,60 Hz,"23.8""",IPS,5,0,0,0,0,False,False,False,,https://www.amazon.ca/dp/B0BRR4ZGNP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
400,Samsung C27FG73,$31.9 USD,SAMSUNG,LC27FG73FQUXEN,8806088842929,,1920 x 1080,144 Hz,"27""",VA,1,0,0,0,0,False,True,True,FreeSync,https://www.amazon.ca/dp/B072JK2SF2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
432,Samsung S24D330H,$25.08 USD,SAMSUNG,LS24D330HSX/EN,8806088440835,,1920 x 1080,60 Hz,"24""",TN,1,1,0,0,1,False,False,False,,https://www.amazon.ca/dp/B01IE3I5L0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
437,Samsung S27E330H,$29.74 USD,SAMSUNG,LS27E330HZX/EN,8806088742908,,1920 x 1080,60 Hz,"27""",TN,1,0,0,0,0,False,False,False,,https://www.amazon.ca/dp/B01IE3IC6I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
452,Viewsonic ELITE XG2405,$192.22 USD,ViewSonic,XG2405,766907005035,,1920 x 1080,144 Hz,"23.8""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B081LTXZ1R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
453,Viewsonic ELITE XG240R,$154.0 USD,ViewSonic,XG240R,766907993127,,1920 x 1080,144 Hz,"23.6""",TN,1,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B07L53SFGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
454,Viewsonic ELITE XG270,$311.9 USD,ViewSonic,XG270,766907004779,,1920 x 1080,240 Hz,"27""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B07VL5SNG8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
455,Viewsonic ELITE XG270QC,$220.33 USD,ViewSonic,XG270QC,766907004212,,2560 x 1440,165 Hz,"27""",MVA,3,0,0,0,0,True,True,True,FreeSync,https://www.amazon.ca/dp/B07VKPWYQ5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
456,Viewsonic VA2265SMH,$129.7 USD,ViewSonic,VA2265SMH,766907790429,,1920 x 1080,60 Hz,"21.5""",MVA,5,1,0,0,1,True,False,False,,https://www.amazon.ca/ViewSonic-VA2265SMH-1080p-Monitor-HDMI/dp/B00RVGYHFK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00RVGYHFK
457,Viewsonic VA3456-MHDJ,$331.49 USD,ViewSonic,VA3456-MHDJ,766907010374,,3440 x 1440,75 Hz,"34""",VA,4,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B08TKGWGCW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
458,Viewsonic VP2468,$251.42 USD,ViewSonic,VP2468,766907844818,,1920 x 1080,60 Hz,"24""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B01HSABSGE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
459,Viewsonic VP2768,$424.95 USD,ViewSonic,VP2768,766907893618,,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B06XYHDFVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
460,Viewsonic VP2768-4K,$434.94 USD,ViewSonic,VP2768-4K,766907000832,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07FDMGBQ1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
461,ViewSonic VP2768A,$398.3 USD,ViewSonic,VP2768A,766907008968,,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B08L9VHCGP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
462,Viewsonic VP2785-2K,$508.13 USD,ViewSonic,VP2785-2K,766907004571,,2560 x 1440,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B07VJLS3VR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
463,Viewsonic VP2785-4K,$760.19 USD,ViewSonic,VP2785-4K,766907902112,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B0748DGHSG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
464,Viewsonic VP3268-4K,$818.19 USD,ViewSonic,VP3268-4K,766907903614,,3840 × 2160,122 Hz,"32""",IPS,5,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B0731LYY9P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
465,Viewsonic VP3481,$650.16 USD,ViewSonic,VP3481,766907002287,,3440 x 1440,122 Hz,"34""","VA, MVA",5,0,0,0,0,True,True,True,,https://www.amazon.ca/dp/B07SPHL3HF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
467,Viewsonic VX2276-SMHD,$123.31 USD,ViewSonic,VX2276-SMHD,766907834321,,1920 x 1080,60 Hz,"21.5""",IPS,4,1,1,0,1,True,False,False,,https://www.amazon.ca/dp/B01GE9QSVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
468,Viewsonic VX2457-MHD,$153.78 USD,ViewSonic,VX2457-MHD,766907817911,,1920 x 1080,122 Hz,"23.6""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B018MYTH9U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
469,Viewsonic VX2458-C-MHD,$145.58 USD,ViewSonic,VX2458-C-MHD,766907975819,,1920 x 1080,144 Hz,"24""",VA,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07H5GNR18?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
470,Viewsonic VX2458-MHD,$195.84 USD,ViewSonic,VX2458-MHD,766907985016,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07JK6XMSN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
471,Viewsonic VX2476-SMHD,$142.17 USD,ViewSonic,VX2476-SMHD,766907848410,,1920 x 1080,60 Hz,"23.6""",IPS,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01GV9H1RS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
472,ViewSonic VX2718-2KPC-MHD,$166.1 USD,ViewSonic,VX2718-2KPC-MHD,766907009637,,2560 x 1440,165 Hz,"27""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08DLC9HBG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
473,Viewsonic VX2718-P-MHD,$168.56 USD,ViewSonic,VX2718-P-MHD,766907011272,,1920 x 1080,165 Hz,"27""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08V8LJS5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
474,Viewsonic VX2757-MHD,$207.11 USD,ViewSonic,VX2757-MHD,766907825114,,1920 x 1080,122 Hz,"27""",TN,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01A0ZRRCI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
475,Viewsonic VX2758-C-MH,$239.37 USD,ViewSonic,VX2758-C-MH,766907952711,,1920 x 1080,144 Hz,"27""",TN,5,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B078ZJHD25?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
476,Viewsonic VX2758-P-MHD,$213.53 USD,ViewSonic,VX2758-P-MHD,766907003000,,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,False,FreeSync,https://www.amazon.ca/dp/B07SC5NH91?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
