,Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Product Page
19,AMD Ryzen 9 7950X,$544.02 USD,AMD,100-100000514WOF,730143314534,,4.5 GHz,5.7 GHz,True,16,32,170 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BBHD5D8Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
20,AMD Ryzen Threadripper 3960X,$1238.93 USD,AMD,100-100000010WOF,730143311885,,3.8 GHz,4.5 GHz,True,24,48,280 W,TRX40,False,https://www.amazon.ca/dp/B0815JGCXP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
21,AMD Ryzen Threadripper 3970X,$1777.16 USD,AMD,100-100000011WOF,730143311908,,3.7 GHz,4.5 GHz,True,32,64,280 W,TRX40,False,https://www.amazon.ca/dp/B0815JJQQ8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
22,AMD Ryzen Threadripper 3990X,$3917.02 USD,AMD,100-100000163WOF,730143312110,,2.9 GHz,4.3 GHz,True,64,128,280 W,TRX40,False,https://www.amazon.ca/dp/B0815SBQ9W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
23,Intel Core i3-12100,$87.04 USD,Intel,BX8071512100,5032037238458,735858503877.0,3.3 GHz,4.3 GHz,False,4,8,60 W,1700,Intel UHD 730,https://www.amazon.ca/dp/B09NPHJLPT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
24,Intel Core i3-12100F,$87.04 USD,Intel,BX8071512100F,5032037238731,735858504423.0,3.3 GHz,4.3 GHz,False,4,8,60 W,1700,False,https://www.amazon.ca/dp/B09NPJX7PV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
25,Intel Core i5-12400,$173.36 USD,Intel,BX8071512400,5032037237741,735858503020.0,2.5 GHz,4.4 GHz,False,6,12,65 W,1700,Intel UHD 730,https://www.amazon.ca/dp/B09NMPD8V2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
26,Intel Core i5-12400F,$144.35 USD,Intel,BX8071512400F,5032037237758,735858503037.0,2.5 GHz,4.4 GHz,False,6,12,65 W,1700,False,https://www.amazon.ca/dp/B09NPJRDGD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
29,Intel Core i5-12600K,$231.38 USD,Intel,BX8071512600K,5032037234108,735858499040.0,3.6 GHz,4.9 GHz,True,6,12,125 W,1700,Intel UHD 770,https://www.amazon.ca/dp/B09FX4D72T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
30,Intel Core i5-12600KF,$268.0 USD,Intel,BX8071512600KF,5032037234115,735858499057.0,3.7 GHz,4.9 GHz,True,6,12,125 W,1700,False,https://www.amazon.ca/dp/B09FXFJW2F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
31,Intel Core i5-13400,$224.13 USD,Intel,BX8071513400,5032037260275,735858528313.0,2.5 GHz,GHz,False,6,12,65 W,1700,False,https://www.amazon.ca/dp/B0BQ68QB6R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
32,Intel Core i5-13400F,$195.84 USD,Intel,BX8071513400F,5032037260299,735858528337.0,3.3 GHz,GHz,False,6,12,65 W,1700,False,https://www.amazon.ca/dp/B0BQ6BRL4T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
36,Intel Core i7-12700K,$217.61 USD,Intel,BX8071512700K,5032037233989,735858498920.0,3.6 GHz,5.0 GHz,True,8,16,125 W,1700,Intel UHD 770,https://www.amazon.ca/dp/B09FXNVDBJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
37,Intel Core i7-13700,$340.19 USD,Intel,BX8071513700,5032037260213,735858528252.0,4.0 GHz,GHz,False,8,16,65 W,1700,False,https://www.amazon.ca/dp/B0BQ6BNY56?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
38,Intel Core i7-13700F,$347.45 USD,Intel,BX8071513700F,5032037260237,735858528276.0,4.0 GHz,GHz,False,8,16,65 W,1700,False,https://www.amazon.ca/dp/B0BQ6CSY9C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
41,Intel Core i9-12900,$485.99 USD,Intel,BX8071512900,5032037237925,735858503204.0,2.4 GHz,5.1 GHz,False,8,16,65 W,1700,Intel UHD 770,https://www.amazon.ca/dp/B09RPF28CG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
42,Intel Core i9-12900K,$405.47 USD,Intel,BX8071512900K,5032037234641,,3.2 GHz,5.2 GHz,True,8,16,125 W,1700,Intel UHD 770,https://www.amazon.ca/dp/B09FXDLX95?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
43,Intel Core i9-12900KF,$419.98 USD,Intel,BX8071512900KF,5032037234221,735858499163.0,3.2 GHz,5.2 GHz,True,8,16,125 W,1700,False,https://www.amazon.ca/dp/B09FWYK5M9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
54,AMD A10-9700,$31.74 USD,AMD,AD9700AGABBOX,730143308601,730143308601.0,3.5 GHz,GHz,False,4,4,65 W,AM4,Radeon R7,https://www.amazon.ca/Startech-CDP2DPMM1MW-DisplayPort-External-Adapter/dp/B074NTJ3XC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074NTJ3XC
63,AMD A6-7400K,$49.0 USD,AMD,AD740KYBJABOX,730143304948,,3.5 GHz,3.9 GHz,True,1,1,65 W,FM2+,False,https://www.amazon.ca/AMD-AD740KYBJABOX-7400K-3900MHz-Black/dp/B00LUH17XG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00LUH17XG
68,AMD A8-7600,$77.17 USD,AMD,AD7600YBJABOX,730143304979,,3.1 GHz,3.8 GHz,False,2,2,65 W,FM2+,False,https://www.amazon.ca/AMD-CPU-AD7600YBJABOX-7600-3800MHz/dp/B00LUH1N4O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00LUH1N4O
70,AMD A8-7650K,$79.83 USD,AMD,AD765KXBJASBX,730143307703,,3.3 GHz,3.7 GHz,True,2,2,95 W,FM2+,Radeon R7,https://www.amazon.ca/AMD-A8-7650K-Radeon-Graphics-AD765KXBJASBX/dp/B01C8CI0TK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C8CI0TK
73,AMD Athlon 200GE,$68.31 USD,AMD,YD200GC6FBBOX,730143309325,730143309325.0,3.2 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3,https://www.amazon.ca/dp/B07HJWVJDN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
74,AMD Athlon 220GE,$80.08 USD,AMD,YD220GC6FBBOX,730143309516,,3.4 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3,https://www.amazon.ca/dp/B07L9Q7DLQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
75,AMD Athlon 240GE,$71.52 USD,AMD,YD240GC6FBBOX,730143309493,,3.5 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3,https://www.amazon.ca/dp/B07L9V9F6H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
84,AMD FX-6300,$87.16 USD,AMD,FD6300WMHKBOX,730143302593,,3.5 GHz,4.1 GHz,True,6,6,95 W,AM3+,False,https://www.amazon.ca/dp/B009O7YORK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
87,AMD FX-8300,$144.4 USD,AMD,FD8300WMHKBOX,730143302555,,3.3 GHz,4.2 GHz,True,8,8,95 W,AM3+,False,https://www.amazon.ca/dp/B00T9RTT2U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
92,AMD FX-8370,$145.36 USD,AMD,FD8370FRHKHBX,730143307390,,4.0 GHz,4.3 GHz,True,8,8,125 W,AM3+,False,https://www.amazon.ca/dp/B01798X7D2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
94,AMD FX-9370,$239.38 USD,AMD,FD9370FHHKWOF,730143303644,,4.4 GHz,4.7 GHz,True,4,4,220 W,AM3+,False,https://www.amazon.ca/AMD-FD9370FHHKWOF-FX-9370-8-Core-Processor/dp/B00DGHD2TA?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00DGHD2TA
95,AMD FX-9590,$234.29 USD,AMD,FD9590FHHKWOF,730143303637,,4.7 GHz,5.0 GHz,True,8,8,220 W,AM3+,False,https://www.amazon.ca/AMD-FD9590FHHKWOF-Fx-9590-8-Core-Processor/dp/B00DGGW3MI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00DGGW3MI
97,AMD Ryzen 3 1200,$117.1 USD,AMD,YD1200BBAEBOX,730143308489,730143308489.0,3.1 GHz,3.4 GHz,True,4,4,65 W,AM4,False,https://www.amazon.ca/dp/B0741DN383?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
99,AMD Ryzen 3 1300X,$75.16 USD,AMD,YD130XBBAEBOX,730143308502,,3.5 GHz,3.7 GHz,True,4,4,65 W,AM4,False,https://www.amazon.ca/dp/B0747ZR6SN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
100,AMD Ryzen 3 2200G,$101.55 USD,AMD,YD2200C5FBBOX,730143309110,730143309110.0,3.5 GHz,3.7 GHz,True,4,4,65 W,AM4,Radeon RX Vega 8,https://www.amazon.ca/dp/B079D3DBNM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
101,AMD Ryzen 3 3100,$120.4 USD,AMD,100-100000284BOX,730143312202,,3.6 GHz,3.9 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/dp/B0876Y2TMZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
102,AMD Ryzen 3 3200G,$100.81 USD,AMD,YD3200C5FHBOX,730143309851,730143309851.0,3.6 GHz,4.0 GHz,True,4,4,65 W,AM4,Radeon RX Vega 8,https://www.amazon.ca/dp/B07STGHZK8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
103,AMD Ryzen 3 4100,$86.86 USD,AMD,100-100000510BOX,730143314060,,3.8 GHz,4.0 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/dp/B09VCRQVWM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
104,AMD Ryzen 5 1400,$181.21 USD,AMD,YD1400BBAEBOX,730143308427,,3.2 GHz,3.4 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/dp/B06XKWT8J4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
105,AMD Ryzen 5 1500X,$148.04 USD,AMD,YD150XBBAEBOX,730143308465,,3.5 GHz,3.7 GHz,True,4,8,65 W,AM4,False,https://www.amazon.ca/AMD-Processor-Wraith-Cooler-YD150XBBAEBOX/dp/B06XKVNRSM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XKVNRSM
106,AMD Ryzen 5 1600,$129.64 USD,AMD,YD1600BBAEBOX,730143308397,730143308397.0,3.2 GHz,3.6 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/AMD-Processor-Wraith-Cooler-YD1600BBAEBOX/dp/B06XNRQHG4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XNRQHG4
107,AMD Ryzen 5 1600 AF,$197.32 USD,AMD,YD1600BBAFBOX,730143309752,,3.2 GHz,3.6 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B07XTQZJ28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
108,AMD Ryzen 5 1600X,$256.26 USD,AMD,YD160XBCAEWOF,730143308441,,3.6 GHz,4.0 GHz,True,6,12,95 W,AM4,False,https://www.amazon.ca/dp/B073WQFXRZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
109,AMD Ryzen 5 2400G,$159.58 USD,AMD,YD2400C5FBBOX,730143309080,730143309080.0,3.6 GHz,3.9 GHz,True,4,8,65 W,AM4,Radeon RX Vega 11,https://www.amazon.ca/dp/B079D8FD28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
111,AMD Ryzen 5 2600,$181.34 USD,AMD,YD2600BBAFBOX,730143309165,730143309165.0,3.4 GHz,3.9 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B07B41WS48?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
113,AMD Ryzen 5 2600X,$217.11 USD,AMD,YD260XBCAFBOX,730143309226,730143309226.0,3.6 GHz,4.1 GHz,True,6,12,95 W,AM4,False,https://www.amazon.ca/dp/B07B428V2L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
114,AMD Ryzen 5 3400G,$150.87 USD,AMD,YD3400C5FHBOX,730143309837,,3.7 GHz,4.2 GHz,True,4,8,65 W,AM4,Radeon RX Vega 11,https://www.amazon.ca/dp/B07SXNDKNM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
117,AMD Ryzen 5 3600,$166.8 USD,AMD,100-100000031BOX,730143309936,730143309936.0,3.6 GHz,4.2 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B07STGGQ18?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
118,AMD Ryzen 5 3600X,$378.86 USD,AMD,100-100000022BOX,730143309912,730143309912.0,3.8 GHz,4.4 GHz,True,6,12,95 W,AM4,False,https://www.amazon.ca/dp/B07Z11JKHY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
119,AMD Ryzen 5 3600XT,$239.37 USD,AMD,100-100000281BOX,730143312646,,3.8 GHz,4.5 GHz,True,6,12,95 W,AM4,False,https://www.amazon.ca/dp/B089WC4VWF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
120,AMD Ryzen 5 4500,$126.93 USD,AMD,100-100000644BOX,730143314114,,3.6 GHz,4.1 GHz,True,6,12,65 W,AM4,False,https://www.amazon.ca/dp/B09VCJN7HZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
121,AMD Ryzen 7 1700,$363.77 USD,AMD,YD1700BBAEBOX,730143308328,730143308328.0,3.0 GHz,3.7 GHz,True,8,16,65 W,AM4,False,https://www.amazon.ca/dp/B072KPW7YF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
122,AMD Ryzen 7 1700X,$426.51 USD,AMD,YD170XBCAEWOF,730143308342,730143308342.0,3.4 GHz,3.8 GHz,True,8,16,95 W,AM4,False,https://www.amazon.ca/dp/B073WQ4XBB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
123,AMD Ryzen 7 1800X,$434.49 USD,AMD,YD180XBCAEWOF,730143308366,730143308366.0,3.6 GHz,4.0 GHz,True,8,16,95 W,AM4,False,https://www.amazon.ca/dp/B073WPTQX8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
125,AMD Ryzen 7 2700,$272.02 USD,AMD,YD2700BBAFBOX,730143309189,730143309189.0,3.2 GHz,4.1 GHz,True,8,16,100 W,AM4,False,https://www.amazon.ca/dp/B07B41717Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
126,AMD Ryzen 7 2700X,$192.22 USD,AMD,YD270XBGAFBOX,730143309202,730143309202.0,3.7 GHz,4.3 GHz,True,8,16,100 W,AM4,False,https://www.amazon.ca/dp/B07B428M7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
127,AMD Ryzen 7 3700X,$601.32 USD,AMD,100-100000071BOX,730143309974,730143309974.0,3.6 GHz,4.4 GHz,True,8,16,65 W,AM4,False,https://www.amazon.ca/dp/B08ZJB58JC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
128,AMD Ryzen 7 3800X,$433.96 USD,AMD,100-100000025BOX,730143309899,730143309899.0,3.9 GHz,4.5 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B07Z1211CC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
129,AMD Ryzen 7 3800XT,$282.89 USD,AMD,100-100000279WOF,730143312264,,3.9 GHz,4.7 GHz,True,8,16,105 W,AM4,False,https://www.amazon.ca/dp/B089WCXZJC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
130,AMD Ryzen 9 3900X,$570.33 USD,AMD,100-100000023BOX,730143309950,,3.8 GHz,4.6 GHz,True,12,24,105 W,AM4,False,https://www.amazon.ca/dp/B07SXMZLP9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
132,AMD Ryzen 9 3950X,$735.59 USD,AMD,100-100000051WOF,730143311809,,3.5 GHz,4.7 GHz,True,16,32,105 W,AM4,False,https://www.amazon.ca/dp/B07ZTYKLZW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
133,AMD Ryzen 9 7900X3D,$507.04 USD,AMD,100-100000909WOF,730143314916,,4.4 GHz,5.6 GHz,False,12,24,120 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BTRRNK7T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
134,AMD Ryzen 9 7950X3D,$550.55 USD,AMD,100-100000908WOF,730143314893,,4.2 GHz,5.7 GHz,False,16,32,120 W,AM5,Ryzen 7000 Graphics,https://www.amazon.ca/dp/B0BTRH9MNS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
135,AMD Ryzen Threadripper 1900X,$194.56 USD,AMD,YD190XA8AEWOF,730143309042,,3.8 GHz,4.0 GHz,True,8,16,180 W,TR4,False,https://www.amazon.ca/dp/B0754JNQBP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
136,AMD Ryzen Threadripper 1920X,$284.33 USD,AMD,YD192XA8AEWOF,730143308786,,3.5 GHz,4.0 GHz,True,12,24,180 W,TR4,False,https://www.amazon.ca/AMD-Threadripper-24-thread-Processor-YD192XA8AEWOF/dp/B074CBJHCT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074CBJHCT
137,AMD Ryzen Threadripper 1950X,$513.47 USD,AMD,YD195XA8AEWOF,730143308755,730143308755.0,3.4 GHz,4.0 GHz,True,16,32,180 W,TR4,False,https://www.amazon.ca/AMD-Threadripper-32-thread-Processor-YD195XA8AEWOF/dp/B074CBH3R4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074CBH3R4
138,AMD Ryzen Threadripper 2920X,$569.62 USD,AMD,YD292XA8AFWOF,730143309417,730143309417.0,3.5 GHz,4.3 GHz,True,12,24,180 W,TR4,False,https://www.amazon.ca/dp/B07JDF4QP2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
139,AMD Ryzen Threadripper 2950X,$785.71 USD,AMD,YD295XA8AFWOF,730143309301,730143309301.0,3.5 GHz,4.4 GHz,True,16,32,180 W,TR4,False,https://www.amazon.ca/dp/B07GFN6CVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
140,AMD Ryzen Threadripper 2970WX,$1182.35 USD,AMD,YD297XAZAFWOF,730143309400,730143309400.0,3.0 GHz,4.2 GHz,True,24,48,250 W,TR4,False,https://www.amazon.ca/dp/B07JBQJ1D9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
141,AMD Ryzen Threadripper 2990WX,$797.91 USD,AMD,YD299XAZAFWOF,730143309288,730143309288.0,3.0 GHz,4.0 GHz,True,32,64,250 W,TR4,False,https://www.amazon.ca/dp/B07G25SD1P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
142,AMD Ryzen Threadripper Pro 3955WX,$979.25 USD,AMD,100-100000167WOF,730143312950,,3.9 GHz,4.3 GHz,False,16,32,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5J11BD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
143,AMD Ryzen Threadripper Pro 3975WX,$2756.42 USD,AMD,100-100000086WOF,730143312943,,3.5 GHz,4.2 GHz,False,32,64,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5H7GPM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
144,AMD Ryzen Threadripper Pro 3995WX,$4968.82 USD,AMD,100-100000087WOF,730143312936,,2.7 GHz,4.2 GHz,False,64,128,280 W,sWRX80,False,https://www.amazon.ca/dp/B08V5HPXVY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
145,AMD Ryzen Threadripper Pro 5955WX,$1022.04 USD,AMD,100-100000447WOF,730143314626,,4.0 GHz,4.5 GHz,False,16,32,280 W,sWRX8,False,https://www.amazon.ca/dp/B0BFVVC89M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
146,AMD Ryzen Threadripper Pro 5965WX,$2255.18 USD,AMD,100-100000446WOF,730143314404,,3.8 GHz,4.5 GHz,False,24,48,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VJHT7L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
147,AMD Ryzen Threadripper Pro 5975WX,$3125.63 USD,AMD,100-100000445WOF,730143314381,,3.6 GHz,4.5 GHz,False,32,64,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VH1WPC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
148,AMD Ryzen Threadripper Pro 5995WX,$6244.74 USD,AMD,100-100000444WOF,730143314367,,2.7 GHz,4.5 GHz,False,64,128,280 W,sWRX8,False,https://www.amazon.ca/dp/B0B5VLPVL5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
149,Intel Celeron G1840,$47.15 USD,Intel,BX80646G1840,5032037062534,,2.8 GHz,GHz,False,2,2,54 W,1150,False,https://www.amazon.ca/dp/B00J2LIE9C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
157,Intel Core i3-13100,$137.81 USD,Intel,BX8071513100,5032037260312,735858528351.0,3.4 GHz,GHz,False,4,8,60 W,1700,False,https://www.amazon.ca/dp/B0BQ6CTTMK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
