,Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
133,Arctic Alpine 64 plus - 92mm,$17.08 USD,Arctic,UCACO-AP60301-BUA01,872767004566,872767004566.0,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",70 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Cooler-AMD-Supports-Multiple-Sockets/dp/B007BVCBOE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007BVCBOE
135,Arctic Alpine AM4 - 92mm,$11.99 USD,Arctic,ACALP00025A,4895213701457,,AM4,69 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07PHNT7JT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
136,"Arctic Alpine AM4 passiver , black",$15.95 USD,Arctic,ACALP00022A,4895213701259,872767009219.0,AM4,70 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07D11G3WR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
137,Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,,AM1,41 mm,,0,0,0,0,0,False,https://www.amazon.ca/Arctic-Alpine-Whisper-Installation-Service/dp/B00UQS59RK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UQS59RK
141,ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,$10.15 USD,ARCTIC COOLING,ACALP64-GT,872767002265,,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",64 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001A5V1K2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
142,ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,$21.75 USD,ARCTIC COOLING,ACFZ11-LP,872767002500,,"1150,1155,1156,775",53 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0037AKXKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
143,ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,$31.86 USD,ARCTIC COOLING,ACFZ13,872767003781,872767003781.0,"754 , 939 , AM2 , AM2+ , AM3, 1150 , 775 , 1155 , 1156 , 1366",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0048F64DU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
144,Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,,AM1,41 mm,,0,0,0,0,0,False,https://www.amazon.ca/Arctic-Alpine-Whisper-Installation-Service/dp/B00UQS59RK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UQS59RK
145,ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,$27.44 USD,ARCTIC COOLING,Freezer 7 Pro Rev.2,872767002494,,"1150 , 1366 , 1156 , 1155 , 775, AM3 , AM2+ , AM2 , 939 , 754",127 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B002G392ZI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
150,ARCTIC COOLING UCACO-FI11001-CSA01 92mm,$28.29 USD,ARCTIC COOLING,UCACO-FI11001-CSA01,872767006812,,"2011 , 1150 , 1155 , 1156",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/Freezer-i11-Capacity-Heatpipes-Vibration-Dampened/dp/B00HO9P05A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HO9P05A
151,ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,$41.4 USD,ARCTIC COOLING,UCACO-P0900-CSB01,872767002432,872767002432.0,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",140 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001X017G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
152,Arctic Freezer 11 LP - 92mm,$21.62 USD,Arctic,UCACO-P2000000-BL,4895213701242,,"1150, 1151, 1155, 1156, 775",53 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Support-Multiple-Sockets/dp/B0037AKXKM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0037AKXKM
153,Arctic Freezer 12 - 92mm,$26.07 USD,Arctic,ACFRE00027A,872767008922,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B06WRPFFJN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
154,Arctic Freezer 12 CO - 92mm,$29.37 USD,Arctic,ACFRE00030A,872767008939,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B06VTGPL74?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
155,Arctic Freezer 13 - 92mm,$31.41 USD,Arctic,UCACO-FZ130-BL,4895213701020,,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Cooler-Intel-Cooling-Capacity/dp/B0048F64DU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0048F64DU
156,Arctic Freezer 13 Continuous Operation - 92mm,$38.53 USD,Arctic,UCACO-FZ13100-BL,872767004436,872767004436.0,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Cooler-Intel-Capacity-Operation/dp/B005IOLEJO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B005IOLEJO
158,"Arctic Freezer 33 TR , red - 120mm",$44.24 USD,Arctic,ACFRE00038A,4895213700221,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Threadripper-3-Phase-Motor-Regulation/dp/B075N67NQ5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075N67NQ5
159,"Arctic Freezer 33 TR , white - 120mm",$47.06 USD,Arctic,ACFRE00039A,4895213700498,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/ARCTIC-Freezer-Threadripper-3-Phase-Motor-Regulation/dp/B075MYVW5J?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075MYVW5J
160,Arctic Freezer 34 CO - 120mm,$26.83 USD,Arctic,ACFRE00051A,4895213701488,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/ARCTIC-Freezer-34-Optimized-Technology/dp/B07LGSDQC2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LGSDQC2
162,"Arctic Freezer 34 eSports , 120mm - red",$43.52 USD,Arctic,ACFRE00056A,4895213701792,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MQ9MQ5M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
163,"Arctic Freezer 34 eSports , 120mm - white",$60.48 USD,Arctic,ACFRE00057A,4895213701808,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07MC8BLC3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
166,Arctic Freezer 7 Pro PWM Rev.2 - 92mm,$27.44 USD,Arctic,DCACO-FP701-CSA01,872767002494,,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","126,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B002G392ZI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
176,Arctic Freezer Xtreme Rev.2 - 120mm,$41.4 USD,Arctic,UCACO-P0900-CSB01,872767002432,872767002432.0,"1150, 1151, 1155, 1156, 1366, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",145 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B001X017G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
180,Arctic Liquid Freezer II Processor,$67.29 USD,Arctic,ACFRE00067A,4895213701969,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/ARCTIC-Liquid-Freezer-All-One/dp/B07WRCY747?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07WRCY747
215,be quiet! Dark Rock 3,$76.37 USD,be quiet!,BK018,4260052183618,4260052183618.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",160 mm,,0,0,0,0,0,True,https://www.amazon.ca/quiet-BK018-Dark-Cooler-LGA775/dp/B00HPX7IKU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HPX7IKU
217,be quiet! Dark Rock Pro 3,$90.14 USD,be quiet!,BK019,4260052183625,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",163 mm,,0,0,0,0,0,False,https://www.amazon.ca/quiet-BK019-Dark-Rock-Pro/dp/B00HPX7J4K?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00HPX7J4K
218,be quiet! Dark Rock Pro TR4 - black,$87.76 USD,be quiet!,BK023,4260052186985,4260052186985.0,"TR4, sTRX4",163 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B07J589GHF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
219,be quiet! Dark Rock Slim - 120mm,$68.17 USD,be quiet!,BK024,4260052187319,4260052187319.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","159,4 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B07R5TQQMR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
220,be quiet! Dark Rock TF - 135/135mm,$88.44 USD,be quiet!,BK020,4260052184233,4260052184233.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+","130,8 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B00XJMQDUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
221,be quiet! Dark Rock TF 2 - 135/135mm,$111.15 USD,be quiet!,BK031,4260052188705,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM4, AM3+, AM5, 1700",134 mm,230 W,0,0,0,0,0,False,https://www.amazon.ca/dp/B09BCWPG1S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
222,be quiet! Pure Loop 2 FX,$137.08 USD,be quiet!,BW014,4260052189030,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B0B7NYH5RD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
223,be quiet! Pure Loop 2 FX,$156.38 USD,be quiet!,BW013,4260052189023,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0B7NSKYTZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
224,be quiet! Pure Loop 2 FX,$173.71 USD,be quiet!,BW015,4260052189047,,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0B7NTFMFD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
225,be quiet! Pure Rock 2 - 120mm,$42.78 USD,be quiet!,BK006,4260052187920,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B087VM7HT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
226,be quiet! Pure Rock 2 Black - 120mm,$51.69 USD,be quiet!,BK007,4260052187968,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",155 mm,150 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B087VL2Z21?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
229,be quiet! Pure Rock Slim - 92mm,$35.53 USD,be quiet!,BK008,4260052185254,4260052185254.0,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",125 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B01KVNCEIG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
230,be quiet! Pure Rock Slim 2 - 92mm,$31.9 USD,be quiet!,BK030,4260052188453,,"1200, 1150, 1151, 1155, AM4, AM3+, AM5, 1700",135 mm,130 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B08YRN1621?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
232,be quiet! Shadow Rock 3 - 120mm,$57.29 USD,be quiet!,BK004,4260052187852,,"1150, 1151, 1155, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B084XYKDF4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
233,be quiet! Shadow Rock 3 White - 120mm,$60.92 USD,be quiet!,BK005,4260052188309,,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",163 mm,190 W,0,0,0,0,0,True,https://www.amazon.ca/dp/B08L9QZXSY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
234,be quiet! Shadow Rock LP Low Profile - 120mm,$39.16 USD,be quiet!,BK002,4260052184226,4260052184226.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","75,4 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B00VGDN6F6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
235,be quiet! Shadow Rock Slim,$61.31 USD,be quiet!,BK010,4260052183632,4260052183632.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",161 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B00HPXZF2I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
237,be quiet! Shadow Rock TF2 - 135mm,$77.01 USD,be quiet!,BK003,4260052185391,4260052185391.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",137 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0723BLJBZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
250,Cooler Master Hyper 212 EVO V2 - 120mm,$47.2 USD,Cooler Master,RR-2V2E-18PK-R1,4719512101476,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM2+, FM2+, FM1",155 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B08KXXHJZN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
254,Cooler Master Hyper H412R - 92mm,$21.02 USD,Cooler Master,RR-H412-20PK-R2,4719512064368,884102037030.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775",136 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B076MQBZ2L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
255,Cooler Master Hyper T2 - Compact with Dual Looped Direct Contact Heatpipes,$14.5 USD,Cooler Master,RR-HT2-28PK-R1,884102026317,884102026317.0,"1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",140 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00K7809O2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
258,"Cooler Master MasterAir G100M, RGB - 100mm",$30.46 USD,Cooler Master,MAM-G1CN-924PC-R1,4719512065341,884102037863.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","74,5 mm",,0,0,0,0,0,False,https://www.amazon.ca/dp/B079K11GNB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
259,Cooler Master MasterAir MA410M RGB - 2x120mm PWM,$57.06 USD,Cooler Master,MAM-T4PN-218PC-R1,4719512067239,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","165,1 mm",,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Addressable-Lighting-MAM-T4PN-218PC-R1/dp/B07CPYM6NR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CPYM6NR
