,Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
27,Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,$83.41 USD,Fractal Design,FD-CA-MESH-C-BKO-TG,7350041084891,817301014892.0,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1.0,0,1.0,1.0,1.0,5,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B074PGBGHW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
28,Fractal Design Meshify C Tempered Glass Midi-Tower - black,$101.55 USD,Fractal Design,FD-CA-MESH-C-BKO-TGL,7340172700074,843276100070.0,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1.0,0,1.0,0.0,1.0,3,2,0,,black,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Computer-Performance/dp/B07B3JDBM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B3JDBM2
29,Fractal Design Meshify C White Tempered Glass Midi-Tower - white,$97.92 USD,Fractal Design,FD-CA-MESH-C-WT-TGC,7340172700104,843276100100.0,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,2/7,0/4,0/0,1.0,0,1.0,0.0,1.0,3,0,0,,white,True,True,True,False,https://www.amazon.ca/Fractal-Design-Meshify-Computer-Water-Cooling/dp/B07BPP9KYD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BPP9KYD
30,Fractal Design Node 202 Mini-ITX - black,$79.78 USD,Fractal Design,FD-CA-NODE-202-BK,7350041082675,817301012676.0,377 mm,330 mm,82 mm,Mini-ITX,SFX,310 mm,56 mm,0/0,0/2,0/0,0/0,0.0,0,0.0,0.0,0.0,2,0,0,,black,False,True,False,False,https://www.amazon.ca/dp/B015MKDOPU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
35,"Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - black",$144.33 USD,Lian Li,Lancool II mesh C performance black,4718466010865,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,1/8,2/4,0/0,0.0,0,1.0,1.0,1.0,6,0,0,,black,True,True,False,False,https://www.amazon.ca/dp/B09PFPRZSZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
39,"NZXT H510 Midi-Tower, TG - black Window",$61.65 USD,NZXT,CA-H510B-B1,5060301695058,815671014757.0,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1.0,0,0.0,1.0,0.0,3,3,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TD9C5HS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
40,"NZXT H510 Midi-Tower, TG - black/red Window",$61.65 USD,NZXT,CA-H510B-BR,5060301695072,815671014771.0,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1.0,0,0.0,1.0,0.0,3,3,0,,red black,True,True,True,False,https://www.amazon.ca/dp/B07TC73F6Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
41,"NZXT H510 Midi-Tower, TG - white Window",$61.65 USD,NZXT,CA-H510B-W1,5060301695065,815671014764.0,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,2/4,0/2,0/0,1.0,0,0.0,1.0,0.0,3,3,0,,white,True,True,True,False,https://www.amazon.ca/dp/B07TC76671?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
42,NZXT H700i Midi-Tower - black/red Window,$174.08 USD,NZXT,CA-H700W-BR,5060301693856,815671013545.0,230 mm,494 mm,516 mm,ATX,ATX,413 mm,185 mm,0/0,3/7,0/5,0/0,1.0,1,0.0,2.0,2.0,7,3,0,,black,True,True,True,False,https://www.amazon.ca/H700i-Mid-Tower-Computer-Black-CA-H700W-BR/dp/B075BBCJX9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075BBCJX9
46,"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",$94.29 USD,PHANTEKS,PH-EC400ATG_BK01,886523301653,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,0.0,1.0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TYR1P1G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
47,"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",$107.54 USD,PHANTEKS,PH-EC400ATG_DBK01,886523301646,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,3/6,0/4,0/0,1.0,0,0.0,0.0,1.0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07TTDW9KV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
48,"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",$79.78 USD,PHANTEKS,PH-EC400ATG_DWT01,886523301660,,210 mm,470 mm,465 mm,E-ATX,ATX,420 mm,160 mm,0/0,3/6,0/4,0/0,1.0,0,0.0,0.0,1.0,2,0,0,,white,True,True,True,False,https://www.amazon.ca/dp/B07TTDW37F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
49,"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_AG,886523300908,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,2,2,0,,"anthracite, gray",False,True,True,True,https://www.amazon.ca/Phanteks-Eclipse-Silent-Anthracite-PH-EC416PSC_AG/dp/B01BLY9UEU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BLY9UEU
50,"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",$87.04 USD,PHANTEKS,PH-EC416PSC_BK,886523300854,,210 mm,470 mm,495 mm,E-ATX,ATX,395 mm,160 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,2,2,0,,black,False,True,True,True,https://www.amazon.ca/Phanteks-Eclipse-P400S-Silent-PH-EC416PSC_BK/dp/B01BLYB5HK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BLYB5HK
51,"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - black",$190.95 USD,PHANTEKS,PH-ES515ETG_BK,886523300915,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,3/5,0/0,0.0,0,0.0,2.0,2.0,4,5,0,,black,True,True,True,False,https://www.amazon.ca/Phanteks-PH-ES515ETG_BK-Enthoo-Evolv-Computer/dp/B01F0KWL6A?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F0KWL6A
52,"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - silver",$129.1 USD,PHANTEKS,PH-ES515ETG_GS,886523300939,,235 mm,510 mm,495 mm,E-ATX,ATX,420 mm,194 mm,0/0,0/7,3/5,0/0,0.0,0,0.0,2.0,2.0,4,5,0,,silver,True,True,True,False,https://www.amazon.ca/Phanteks-PH-ES515ETG_GS-Enthoo-Evolv-Computer/dp/B01F0KVP2Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F0KVP2Q
53,"PHANTEKS Enthoo Primo Big-Tower, blaue LED - black",$244.44 USD,PHANTEKS,PH-ES813P_BL,886523300014,,250 mm,600 mm,650 mm,E-ATX,ATX,515 mm,207 mm,0/0,0/13,5/11,0/0,0.0,1,2.0,2.0,0.0,12,6,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00EB0A6FE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
60,Silverstone SST-RVZ01B Raven Z Mini-ITX - black,$145.97 USD,Silverstone,SST-RVZ01B,4710007221150,844761011154.0,382 mm,350 mm,105 mm,Mini-ITX,SFX,330 mm,83 mm,0/0,2/3,0/0,0/0,0.0,0,0.0,0.0,0.0,3,1,0,,black,False,True,False,False,https://www.amazon.ca/dp/B00I3EKXDE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
61,"Thermaltake Core P7, Tempered Glass - black",$302.47 USD,Thermaltake,CA-1I2-00F1WN-00,4717964407962,,570 mm,333 mm,608 mm,E-ATX,ATX,280 mm,180 mm,0/0,0/12,0/9,0/0,0.0,0,0.0,0.0,0.0,7,7,0,,black,True,False,True,False,https://www.amazon.ca/Thermaltake-Tempered-Panoramic-Certified-CA-1I2-00F1WN-00/dp/B06XJ9468H?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XJ9468H
214,Antec DA601 Midi-Tower - black,$95.74 USD,Antec,0-761345-80018-1,761345800181,,220 mm,480 mm,500 mm,E-ATX,ATX,400 mm,160 mm,0/0,2/7,0/2,0/0,1.0,0,0.0,0.0,2.0,4,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07MWC323S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
215,Antec Dark Fleet DF500 Midi-Tower - black Window,$68.72 USD,Antec,0-761345-80002-0,761345800020,,200 mm,470 mm,480 mm,ATX,ATX,380 mm,165 mm,0/0,1/7,0/4,0/0,1.0,0,0.0,0.0,1.0,6,2,0,,red black,True,True,True,False,https://www.amazon.ca/Antec-Mid-Tower-Computer-Pre-Installed-Cooling/dp/B07B4QHBKS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B4QHBKS
216,Antec Dark Fleet DF500 RGB Midi-Tower - black Tempered Glass,$77.88 USD,Antec,0-761345-80003-7,761345800037,,200 mm,470 mm,480 mm,ATX,ATX,380 mm,165 mm,0/0,3/7,0/4,0/0,1.0,0,0.0,0.0,1.0,6,2,0,,black,True,True,True,False,https://www.amazon.ca/Antec-Mid-Tower-Computer-Lighting-Pre-Installed/dp/B07B4NQZ4R?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B4NQZ4R
218,"Antec GX200 Blue Midi-Tower, Window - black",$17.39 USD,Antec,0-761345-15202-0,761345152020,,185 mm,450 mm,412 mm,ATX,ATX,380 mm,158 mm,0/0,2/3,0/0,0/0,,,,,,1,4,0,,black,True,True,False,False,https://www.amazon.ca/dp/B00YEDR1KG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
223,"Antec New Gaming NX210 Midi-Tower, RGB, Tempered Glass - black",$67.08 USD,Antec,0-761345-81020-3,761345810203,,220 mm,395 mm,455 mm,ATX,ATX,310 mm,155 mm,0/0,4/4,0/0,0/0,1.0,0,1.0,0.0,0.0,3,1,0,,black,True,False,True,False,https://www.amazon.ca/dp/B07VCK2M9T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
226,"Antec New Gaming NX400 Midi-Tower, RGB, Tempered Glass - black",$83.77 USD,Antec,0-761345-81040-1,761345810401,,230 mm,425 mm,465 mm,ATX,ATX,330 mm,180 mm,0/0,1/6,0/5,0/0,1.0,0,1.0,0.0,1.0,4,1,0,,black,True,False,True,False,https://www.amazon.ca/dp/B00130EBVU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
230,Antec P101 Silent Midi-Tower - black,$116.81 USD,Antec,0-761345-81103-3,761345811033,,232 mm,506 mm,527 mm,E-ATX,ATX,290 mm,180 mm,0/0,4/4,0/3,0/0,0.0,1,0.0,0.0,1.0,2,0,0,,black,False,True,True,True,https://www.amazon.ca/dp/B07LBXP8KZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
231,Antec P110 Luce Midi-Tower - black,$31.18 USD,Antec,0-761345-11611-4,761345116114,,230 mm,518 mm,489 mm,ATX,ATX,390 mm,165 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,6,8,0,,black,True,True,True,False,https://www.amazon.ca/dp/B0747WBHQG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
232,Antec P110 Silent Midi-Tower - black,$123.51 USD,Antec,0-761345-11610-7,761345116107,,230 mm,518 mm,489 mm,ATX,ATX,390 mm,165 mm,0/0,2/6,0/4,0/0,1.0,0,0.0,1.0,1.0,6,8,0,,black,False,True,True,True,https://www.amazon.ca/dp/B0777851YQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
233,"Antec P120 Crystal Midi-Tower - Tempered Glass, black",$130.56 USD,Antec,0-761345-81200-9,761345812009,,234 mm,476 mm,485 mm,E-ATX,ATX,450 mm,185 mm,0/0,0/7,0/6,0/0,1.0,0,0.0,0.0,2.0,3,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B00006B6UL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
236,"Antec P6 Midi-Tower, Tempered Glass - black",$68.46 USD,Antec,0-761345-80004-4,761345800044,,470 mm,405 mm,200 mm,Micro-ATX,ATX,390 mm,160 mm,0/0,1/6,0/4,0/0,,,,,,6,2,0,,black,True,True,True,False,https://www.amazon.ca/Antec-Performance-Micro-ATX-Computer-Pre-Installed/dp/B07B4W96KH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B4W96KH
239,Antec P7 Silent Midi-Tower - black,$73.27 USD,Antec,0-761345-11608-4,761345116084,,210 mm,445 mm,470 mm,ATX,ATX,390 mm,165 mm,0/0,2/3,0/2,0/0,1.0,0,0.0,1.0,0.0,2,0,0,,black,False,True,True,True,https://www.amazon.ca/dp/B07CLY9J6X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
241,"Antec Performance Series P8 Midi-Tower, Tempered Glass - black",$58.07 USD,Antec,0-761345-11607-7,761345116077,,210 mm,470 mm,443 mm,ATX,ATX,390 mm,165 mm,0/0,3/7,0/4,0/0,,,,,,6,2,0,,black,True,True,True,False,https://www.amazon.ca/Antec-Performance-P8-Mid-Tower-Pre-Installed/dp/B073XZW18Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073XZW18Q
242,Antec Three Hundred Two Midi-Tower - black,$72.53 USD,Antec,0-761345-15320-1,761345153201,,229 mm,471 mm,513 mm,ATX,ATX,318 mm,170 mm,0/0,1/4,1/1,0/0,,,,,,2,6,0,,black,False,False,True,False,https://www.amazon.ca/dp/B006TVQTHW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
243,Antec TORQUE Midi-Tower - black/red,$413.45 USD,Antec,0-761345-80017-4,761345800174,,285 mm,621 mm,644 mm,ATX,ATX,450 mm,215 mm,0/0,0/6,0/0,0/0,0.0,0,0.0,0.0,2.0,1,1,0,,red black,True,False,False,False,https://www.amazon.ca/dp/B07HG9KZVX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
244,Antec TORQUE Midi-Tower - white,$275.64 USD,Antec,0-761345-80026-6,761345800266,,285 mm,621 mm,644 mm,ATX,ATX,450 mm,215 mm,0/0,0/6,0/0,0/0,0.0,0,0.0,0.0,2.0,1,1,0,,white,True,False,True,False,https://www.amazon.ca/dp/B07S9BZ3J3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
250,be quiet! Dark Base 700 RGB Midi-Tower - black Window,$255.78 USD,be quiet!,BGW23,4260052185742,4260052185742.0,241 mm,544 mm,519 mm,E-ATX,ATX,430 mm,180 mm,0/0,0/8,2/9,0/0,3.0,2,2.0,1.0,2.0,17,7,0,,black,True,True,True,True,https://www.amazon.ca/dp/B0773NWQNQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
251,be quiet! Dark Base 700 White Edition Midi-Tower - white Window,$212.92 USD,be quiet!,BGW33,4260052187258,4260052187258.0,241 mm,544 mm,519 mm,E-ATX,ATX,430 mm,180 mm,0/0,0/6,2/6,0/0,0.0,1,0.0,0.0,2.0,17,7,0,,white,True,True,True,True,https://www.amazon.ca/quiet-Computer-Tempered-Cooling-Silence/dp/B07NFPZDDY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NFPZDDY
252,be quiet! Dark Base 900 Big-Tower - black,$259.5 USD,be quiet!,BG011,4260052184929,4260052184929.0,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/11,3/9,0/1,4.0,4,2.0,3.0,2.0,15,7,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01H6JQAJ2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
253,be quiet! Dark Base 900 Big-Tower - silver,$244.03 USD,be quiet!,BG012,4260052184936,4260052184936.0,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/11,3/9,0/1,4.0,4,2.0,3.0,2.0,15,7,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01H6JOECW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
255,be quiet! Dark Base Pro 900 Big-Tower - black Window,$215.07 USD,be quiet!,BGW11,4260052184950,4260052184950.0,243 mm,577 mm,585 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/9,3/9,0/1,,,,,,15,7,0,,black,True,True,True,True,https://www.amazon.ca/quiet-BGW11-Tower-Computer-Chassis/dp/B01H6JO9L8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H6JO9L8
257,"be quiet! Dark Base Pro 900 Big-Tower, Rev. 2 - orange",$312.26 USD,be quiet!,BGW14,4260052186589,4260052186589.0,243 mm,577 mm,586 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/10,3/9,0/0,0.0,1,0.0,0.0,0.0,16,7,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07DWBX97G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
258,"be quiet! Dark Base Pro 900 Big-Tower, Rev. 2 - black",$310.03 USD,be quiet!,BGW15,4260052186909,4260052186909.0,243 mm,577 mm,586 mm,E-ATX,ATX,470 mm,185 mm,0/0,0/10,3/9,0/0,1.0,0,0.0,0.0,0.0,16,7,0,,black,True,True,True,True,https://www.amazon.ca/dp/B07DWDQFSX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
259,"be quiet! Dark Base Pro 900 Big-Tower, Rev. 2 - silver",$313.6 USD,be quiet!,BGW16,4260052186916,4260052186916.0,243 mm,577 mm,586 mm,E-ATX,,470 mm,185 mm,0/0,0/0,0/0,0/0,0.0,0,0.0,0.0,0.0,0,0,0,,black,False,False,False,False,https://www.amazon.ca/dp/B07DW6XF3G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
263,be quiet! Pure Base 500 Midi-Tower - white,$86.31 USD,be quiet!,BG035,4260052187838,,231 mm,450 mm,463 mm,ATX,ATX,369 mm,190 mm,0/0,0/6,2/5,0/0,0.0,1,1.0,0.0,1.0,5,2,0,,white,False,True,True,True,https://www.amazon.ca/dp/B07TSG8G2H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
267,be quiet! Pure Base 600 Midi-Tower - orange Window,$24.95 USD,be quiet!,BGW20,4260052185438,4260052185438.0,492 mm,470 mm,220 mm,ATX,ATX,425 mm,165 mm,0/0,1/7,1/4,0/0,3.0,1,2.0,1.0,2.0,8,3,0,,black,True,True,True,True,https://www.amazon.ca/dp/B06XDQGLPS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
268,be quiet! Pure Base 600 Midi-Tower - black,$138.55 USD,be quiet!,BG021,4260052185414,4260052185414.0,220 mm,492 mm,470 mm,ATX,ATX,425 mm,165 mm,0/0,1/7,1/4,0/0,3.0,1,2.0,1.0,2.0,8,3,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01N7PGIPS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
269,be quiet! Pure Base 600 Midi-Tower - black Window,$97.19 USD,be quiet!,BGW21,4260052185445,4260052185445.0,492 mm,470 mm,220 mm,ATX,ATX,425 mm,165 mm,0/0,1/7,1/4,0/0,3.0,1,2.0,1.0,2.0,8,3,0,,black,True,True,True,True,https://www.amazon.ca/dp/B06WVRDC41?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
270,be quiet! Pure Base 600 Midi-Tower - silver,$127.81 USD,be quiet!,BG022,4260052185421,4260052185421.0,220 mm,492 mm,470 mm,ATX,ATX,425 mm,165 mm,0/0,1/7,1/4,0/0,3.0,1,2.0,1.0,2.0,8,3,0,,black,False,True,True,True,https://www.amazon.ca/dp/B01N9ONQSK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
274,be quiet! Silent Base 600 Midi-Tower - black Window,$112.22 USD,be quiet!,BGW06,4260052184462,4260052184462.0,230 mm,495 mm,493 mm,ATX,ATX,400 mm,167 mm,0/0,1/4,1/5,0/0,2.0,1,1.0,0.0,0.0,3,3,0,,black,True,True,True,True,https://www.amazon.ca/quiet-BGW06-SILENT-WINDOW-Computer/dp/B014VZD8G2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014VZD8G2
