,Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Product Page
64,EVGA SuperNOVA 650 G3,$114.6 USD,EVGA,220-G3-0650-Y1,843368042585,843368042585.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01LYGFRL6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
65,EVGA SuperNOVA 750 G2,$114.59 USD,EVGA,220-G2-0750-XR,7427457087041,41650177025.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-220-G2-0750-XR/dp/B00IKDETOW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IKDETOW
67,EVGA SuperNOVA 750 G3,$101.55 USD,EVGA,220-G3-0750-X1,843368042622,843368042622.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B005BE058W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
68,EVGA SuperNOVA 850 G2,$134.16 USD,EVGA,220-G2-0850-XR,803982727282,843368027445.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-220-G2-0850-XR/dp/B00IKDETOC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IKDETOC
89,Seasonic FOCUS 550 GOLD,$90.66 USD,Seasonic,SSR-550FM,4711173873389,4711173873389.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B077916ZZV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
90,Seasonic Focus GX 80 Plus Gold,$72.53 USD,Seasonic,FOCUS-GX-550,4711173874713,,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07WQYM74W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
91,Seasonic Focus GX 80 Plus Gold,$76.16 USD,Seasonic,FOCUS-GX-650,4711173874706,,650 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B077J9QTDR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
92,Seasonic Focus GX 80 Plus Gold,$90.66 USD,Seasonic,FOCUS-GX-750,4711173874690,,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B077J9G9CH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
93,Seasonic Focus GX 80 PLUS Gold,$132.86 USD,Seasonic,FOCUS-GX-850,4711173874683,,850 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07WVMDZMZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
94,Seasonic Focus PX 80 Plus Platinum 750 Watt,$119.68 USD,Seasonic,FOCUS-PX-750,4711173874645,,750 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07W4PLZWH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
96,Seasonic PRIME 650 GOLD,$103.18 USD,Seasonic,SSR-650GD,4711173873464,,650 W,ATX,80 Plus Gold,https://www.amazon.ca/Seasonic-SSR-650GD-Flagship-Modular-Atx12V/dp/B01NCT1VLI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCT1VLI
101,Silverstone SST-ST45SF V2.0 Strider Series SFX,$69.98 USD,Silverstone,SST-ST45SF 2.0,4710713966604,,450 W,SFX,80 PLUS Bronze,https://www.amazon.ca/dp/B003LU6PN2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
103,Silverstone SST-SX600-G Strider Gold Series,$127.3 USD,Silverstone,SST-SX600-G,4710007221587,,600 W,SFX,80 PLUS Gold,https://www.amazon.ca/dp/B00MO675S8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
239,"be quiet! Straight Power 11, 80 PLUS Gold",$116.05 USD,be quiet!,BN283,4260052185780,,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B079D3DBNM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
313,Corsair AX1500i Digital ATX Power Supply,$346.72 USD,Corsair,CP-9020057-NA,804904220331,809395430139.0,1500 W,ATX,80 Plus Titanium,https://www.amazon.ca/Corsair-AX1500i-Titanium-Efficiency-CP-9020057-NA/dp/B00MFJ4OBA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MFJ4OBA
314,Corsair AX760i Digital ATX Power Supply,$206.72 USD,Corsair,CP-9020036-NA,14445566113,709099525264.0,760 W,ATX,80 Plus Platinum,https://www.amazon.ca/Ax860i-860w-80plus-Plat-Modular/dp/B00A0HZNDW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00A0HZNDW
338,Corsair CX550M,$65.62 USD,Corsair,CP-9020102-NA,843591058049,843591058049.0,550 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01B72W0A2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
339,Corsair CX650,$76.16 USD,Corsair,CP-9020122-NA,843591084086,843591084086.0,650 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01MRW2K7E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
342,Corsair CX650M,$61.65 USD,Corsair,CP-9020103-NA,8805191364731,843591058124.0,650 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01B72W1VA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
343,Corsair CX750,$75.64 USD,Corsair,CP-9020123-NA,843591084161,843591084161.0,750 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01N9KIFWF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
346,Corsair CX750M,$90.66 USD,Corsair,CP-9020061-NA,803982757555,843591042987.0,750 W,ATX,80 Plus Bronze,https://www.amazon.ca/Corsair-Modular-Bronze-ATX12V-EPS12V/dp/B00ALK3KEM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00ALK3KEM
347,Corsair CX850M,$100.01 USD,Corsair,CP-9020099-NA,808113005284,843591054539.0,850 W,ATX,80 Plus Bronze,https://www.amazon.ca/Corsair-Modular-Bronze-ATX12V-CP-9020099-NA/dp/B00OVCJKWC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OVCJKWC
348,Corsair HX1000,$206.72 USD,Corsair,CP-9020139-NA,843591093477,843591093477.0,1000 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B01N5NWKHH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
351,Corsair HX1000i High-Performance ATX Power Supply,$238.63 USD,Corsair,CP-9020074-NA,806293518730,843591041157.0,1000 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00M2UINT6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
354,Corsair HX750,$141.44 USD,Corsair,CP-9020137-NA,843591093316,843591093316.0,750 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B01N6PEBNL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
357,Corsair HX750i High-Performance ATX Power Supply,$181.34 USD,Corsair,CP-9020072-NA,843591041300,804891030234.0,750 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00M2UINC8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
358,Corsair HX850,$152.32 USD,Corsair,CP-9020138-NA,843591093392,843591093392.0,850 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B01NARQ2QU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
361,Corsair HX850i High-Performance ATX Power Supply,$199.47 USD,Corsair,CP-9020073-NA,8435910412254,843591041225.0,850 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00M2UIXX2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
375,Corsair RM1000x,$188.59 USD,Corsair,CP-9020094-NA,843591050906,843591050906.0,1000 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B015YEI7LK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
376,Corsair RM650i,$132.01 USD,Corsair,CP-9020081-NA,843591045520,843591045520.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B00YPNSRXU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
378,Corsair RM850i,$159.58 USD,Corsair,CP-9020083-NA,7426900770738,,850 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM850i-Performance-Supply-CP-9020083-NA/dp/B00YPNSQBS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00YPNSQBS
379,Corsair RM850x,$123.31 USD,Corsair,CP-9020093-NA,843591050821,843591050821.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-RM850x-Modular-Certified-Warranty/dp/B015YEI8JG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015YEI8JG
380,Corsair RM850x,$126.93 USD,Corsair,CP-9020156-NA,843591024914,843591024914.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/Corsair-CP-9020156-NA-RM850x-Certified-Modular/dp/B073GWFBQ3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073GWFBQ3
383,Corsair RMX Series (2021) RM550x,$37.27 USD,Corsair,CP-9020197-EU,840006602750,,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B00066HS4O?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
395,Corsair SF450,$79.05 USD,Corsair,CP-9020104-NA,843591068963,843591068963.0,450 W,SFX,80 Plus Gold,https://www.amazon.ca/dp/B01CGGOXWQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
396,Corsair SF600,$126.93 USD,Corsair,CP-9020105-NA,843591069045,843591069045.0,600 W,SFX,80 Plus Gold,https://www.amazon.ca/dp/B01CGI5M24?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
405,Corsair VS400,$42.83 USD,Corsair,CP-9020117-NA,843591072984,843591072984.0,400 W,ATX,80 Plus,https://www.amazon.ca/Corsair-VS400-Active-Certified-Supply/dp/B01MYNN9PL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MYNN9PL
406,Corsair VS500,$41.38 USD,Corsair,CP-9020118-NA,843591073011,843591073011.0,500 W,ATX,80 Plus,https://www.amazon.ca/CORSAIR-VS500-Certified-Non-Modular-Supply/dp/B01N2HRRH4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2HRRH4
407,Corsair VS600,$49.13 USD,Corsair,CP-9020119-NA,843591073042,843591073042.0,600 W,ATX,80 Plus,https://www.amazon.ca/Corsair-CP-9020119-NA-Active-Certified-Supply/dp/B01MXM83A3?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MXM83A3
414,Cougar GX-F,$93.72 USD,Cougar,31TP055.0008,4715302449551,871520007141.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B07BFBD21F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
415,Cougar GX-F,$109.81 USD,Cougar,31TP075.0002,4715302449575,871520007165.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B07G7CJKQZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
436,Enermax Platimax,$181.34 USD,Enermax,EPM850EWT,4713157720771,,850 W,ATX,80 Plus Platinum,https://www.amazon.ca/Enermax-Platimax-Multiple-Platinum-EPM850EWT/dp/B006X6VTR8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B006X6VTR8
437,Enermax Platimax D.F.,$151.71 USD,Enermax,EPF600AWT,4713157722300,,600 W,ATX,80 Plus Platinum,https://www.amazon.ca/Platimax-Platinum-Certified-Technology-EPF600AWT/dp/B01NCLCU62?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCLCU62
441,EVGA 1000GQ,$192.22 USD,EVGA,210-GQ-1000-V1,792745451321,843368035662.0,1000 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B017ICWP82?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
442,EVGA 400 N1,$36.26 USD,EVGA,100-N1-0400-L1,846830070406,843368031114.0,400 W,ATX,80 Plus,https://www.amazon.ca/dp/B00LV8TZAG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
443,EVGA 430 W1,$37.02 USD,EVGA,100-W1-0430-KR,7426801753786,731215283987.0,430 W,ATX,80 Plus,https://www.amazon.ca/EVGA-White-Warranty-Supply-100-W1-0430-KR/dp/B00H33SDR4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00H33SDR4
444,EVGA 450 B3,$58.02 USD,EVGA,220-B3-0450-V1,843368045043,843368045043.0,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Modular-Warranty-Compact-220-B3-0450-V1/dp/B06ZY55HPT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06ZY55HPT
445,EVGA 450 BT,$54.4 USD,EVGA,100-BT-0450-K1,843368046071,843368046071.0,450 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01N9X3F8F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
447,EVGA 500 B1,$48.2 USD,EVGA,100-B1-0500-KR,803982895851,807030509783.0,500 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Bronze-Supply-Warranty-100-B1-0500-KR/dp/B00DZ6R9GE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00DZ6R9GE
448,EVGA 500 BQ,$54.89 USD,EVGA,110-BQ-0500-K1,843368043346,843368043346.0,500 W,ATX,80 Plus,https://www.amazon.ca/EVGA-Bronze-Modular-Warranty-110-BQ-0500-K1/dp/B01N3OAFHD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N3OAFHD
450,EVGA 500 W1,$25.38 USD,EVGA,100-W1-0500-KR,843368026318,843368026318.0,500 W,ATX,80 Plus,https://www.amazon.ca/dp/B00H33SFJU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
451,EVGA 550 B3,$77.46 USD,EVGA,220-B3-0550-V1,843368045098,843368045098.0,550 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B071XS597S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
452,EVGA 550 N1,$64.54 USD,EVGA,100-N1-0550-L1,843368040246,843368040246.0,550 W,ATX,80 Plus,https://www.amazon.ca/dp/B01LYGJL0E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
453,EVGA 600 BQ,$66.15 USD,EVGA,110-BQ-0600-K1,843368043292,843368043292.0,600 W,ATX,80 Plus,https://www.amazon.ca/EVGA-BRONZE-Modular-Warranty-110-BQ-0600-K1/dp/B01MTJTO2O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MTJTO2O
454,EVGA 600 W1,$49.31 USD,EVGA,100-W1-0600-KR,843368043667,843368043667.0,600 W,ATX,80 Plus,https://www.amazon.ca/EVGA-100-W1-0600-KR-Power-Supply/dp/B01M0DTRCO?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0DTRCO
455,EVGA 600B,$56.56 USD,EVGA,100-B1-0600-KR,4250812404497,,600 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Bronze-Warranty-Tester-100-B1-0600-KR/dp/B00EON40CS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EON40CS
456,EVGA 650 B3,$78.3 USD,EVGA,220-B3-0650-V1,843368045142,843368045142.0,650 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Modular-Warranty-Compact-220-B3-0650-V1/dp/B071R9Z77W?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071R9Z77W
457,EVGA 650 BQ,$54.4 USD,EVGA,110-BQ-0650-V1,843368036553,843368036553.0,650 W,ATX,80 Plus,https://www.amazon.ca/dp/B01FYDU8X6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
458,EVGA 650 GQ,$61.65 USD,EVGA,210-GQ-0650-V1,843368035709,843368035709.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B017HA3SQ8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
459,EVGA 650 N1,$54.4 USD,EVGA,100-N1-0650-L1,843368040277,843368040277.0,650 W,ATX,80 Plus,https://www.amazon.ca/dp/B01LYRXRDI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
460,EVGA 700 B1,$58.02 USD,EVGA,100-B1-0700-K1,734911129979,843368035075.0,700 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Bronze-Warranty-Supply-100-B1-0700-K1/dp/B018JYHBE6?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B018JYHBE6
462,EVGA 750 B3,$91.83 USD,EVGA,220-B3-0750-V1,843368045197,843368045197.0,750 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Modular-Warranty-Compact-220-B3-0750-V1/dp/B071Y1NLZR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071Y1NLZR
463,EVGA 750 GQ,$134.97 USD,EVGA,210-GQ-0750-V1,734911493582,843368035754.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B017HA3RGE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
464,EVGA 750 N1,$61.65 USD,EVGA,100-N1-0750-L1,843368040314,843368040314.0,750 W,ATX,80 Plus,https://www.amazon.ca/dp/B01LZ3WDQG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
465,EVGA 850 B3,$117.34 USD,EVGA,220-B3-0850-V1,843368045241,843368045241.0,850 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-Modular-Warranty-Compact-220-B3-0850-V1/dp/B071YB4RNM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071YB4RNM
466,EVGA 850 BQ,$65.28 USD,EVGA,110-BQ-0850-V1,843368036607,843368036607.0,850 W,ATX,80 Plus,https://www.amazon.ca/dp/B01FYDUCA0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
467,EVGA 850 GQ,$137.08 USD,EVGA,210-GQ-0850-V1,843368035624,843368035624.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B017HA3SO0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
478,EVGA SuperNOVA 1000 G2,$158.86 USD,EVGA,120-G2-1000-XR,843368042707,843368023515.0,1000 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-SuperNPVA-Modular-Warranty-220-G3-1000-X1/dp/B01LZ3SFB3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LZ3SFB3
479,EVGA SuperNOVA 1000 P2,$282.89 USD,EVGA,220-P2-1000-XR,803982723055,843368023881.0,1000 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00EKJQM5E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
481,EVGA SuperNOVA 1000 T2,$295.21 USD,EVGA,220-T2-1000-X1,843368035136,843368035136.0,1000 W,ATX,80 Plus Titanium,https://www.amazon.ca/dp/B018JYHGQE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
482,EVGA SuperNOVA 1050 GS,$84.92 USD,EVGA,220-GS-1050-V1,843368037628,843368037628.0,1050 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B019WAQQGU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
483,EVGA SuperNOVA 1200 P2,$308.28 USD,EVGA,220-P2-1200-X1,792745453769,843368030490.0,1200 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00KYK1CKI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
485,EVGA SuperNOVA 1600 G2,$377.97 USD,EVGA,120-G2-1600-X1,801940127136,843368030414.0,1600 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-120-G2-1600-X1/dp/B00MMLUIE8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MMLUIE8
486,EVGA SuperNOVA 1600 P2,$401.09 USD,EVGA,220-P2-1600-X1,804067299502,843368030452.0,1600 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Platinum-Warranty-220-P2-1600-X1/dp/B00NJG61JQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NJG61JQ
487,EVGA SuperNOVA 1600 T2,$391.7 USD,EVGA,220-T2-1600-X1,843368032722,,1600 W,ATX,80 Plus Titanium,https://www.amazon.ca/dp/B00R33ZBQU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
488,EVGA SuperNOVA 550 G2,$97.92 USD,EVGA,220-G2-0550-Y1,843368034801,843368034801.0,550 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-SuperNOVA-Modular-Tester-220-G2-0550-Y1/dp/B0106RDI3W?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0106RDI3W
490,EVGA SuperNOVA 650 G1,$101.55 USD,EVGA,120-G1-0650-XR,9126603897913,12302734729.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-SuperNOVA-Modular-Warranty-120-G1-0650-XR/dp/B00K85X2AW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00K85X2AW
491,EVGA SuperNOVA 650 G2,$108.8 USD,EVGA,220-G2-0650-Y1,843368034894,,650 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-Supernova-Modular-Warranty-220-G2-0650-Y1/dp/B0106RDIN2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0106RDIN2
492,EVGA SuperNOVA 650 P2,$145.03 USD,EVGA,220-P2-0650-X1,843368034719,843368034719.0,650 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B010HWDPKW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
494,EVGA SuperNOVA 750 B2,$90.66 USD,EVGA,110-B2-0750-VR,843368027483,780746692126.0,750 W,ATX,80 Plus Bronze,https://www.amazon.ca/EVGA-SuperNOVA-Modular-Warranty-110-B2-0750-VR/dp/B00KFAFRW6?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00KFAFRW6
496,EVGA SuperNOVA 750 P2,$191.27 USD,EVGA,220-P2-0750-X1,843368034726,843368034726.0,750 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B010HWDP48?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
500,EVGA SuperNOVA 850 G3,$172.63 USD,EVGA,220-G3-0850-X1,843368042660,843368042660.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B01LY4OJYJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
