,Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
42,Corsair LPX 16GB,$81.23 USD,Corsair,CMK16GX4M2B3000C15B,6907502584073,843591071239.0,DDR4-3000,16 GB,3000,15-17-17-35,2,https://www.amazon.ca/Corsair-Vengeance-3000MHz-Systems-CMK16GX4M2B3000C15B/dp/B014JESKRW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014JESKRW
43,Corsair LPX 16GB,$97.92 USD,Corsair,CMK16GX4M2Z2666C16,843591028479,843591028479.0,DDR4-2666,16 GB,2666,16-18-18-35,2,https://www.amazon.ca/dp/B06XRDVY76?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
44,Corsair LPX 16GB,$119.68 USD,Corsair,CMK16GX4M2A2400C16R,6907502583564,843591082884.0,DDR4-2400,16 GB,2400,16-16-16-39,2,https://www.amazon.ca/dp/B07XN8WYBC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
45,Corsair LPX 32GB,$76.16 USD,Corsair,CMK32GX4M2A2400C16,843591085564,843591085564.0,DDR4-2400,32 GB,2400,16-16-16-39,2,https://www.amazon.ca/dp/B01CYILUB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
46,Corsair LPX 32GB,$134.13 USD,Corsair,CMK32GX4M2B3200C16,843591070492,843591070492.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B016ORTNI2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
47,Corsair LPX 32GB,$143.81 USD,Corsair,CMK32GX4M2A2400C14R,843591070577,843591070577.0,DDR4-2400,32 GB,2400,14-16-16-31,2,https://www.amazon.ca/dp/B014JESOQE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
48,Corsair LPX 32GB,$149.95 USD,Corsair,CMK32GX4M2B3466C16R,843591094139,843591094139.0,DDR4-3466,32 GB,3466,16-18-18-36,2,https://www.amazon.ca/Corsair-Vengeance-PC4-27700-Intel-CMK32GX4M2B3466C16R/dp/B01LY6RF71?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LY6RF71
49,Corsair RGB 16GB,$137.81 USD,Corsair,CMR16GX4M2C3200C16,843591097208,843591097208.0,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B071RYZRJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071RYZRJD
50,Corsair Value Select DDR3-1600 CL11,$76.16 USD,Corsair,CMV16GX3M2A1600C11,843591036078,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-1600MHz-Desktop-Memory-CMV16GX3M2A1600C11/dp/B009M0TF3W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TF3W
51,Corsair Value Select DDR4-2133 CL15 black,$21.75 USD,Corsair,CMV4GX4M1A2133C15,843591052962,,DDR4-2133,4 GB,2133,,1,https://www.amazon.ca/dp/B00SV7IIOE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
52,Corsair ValueSelect DDR3-1600 CL11,$23.2 USD,Corsair,CMV4GX3M1A1600C11,843591034098,843591034098.0,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B009CILPRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
53,Corsair ValueSelect DDR3-1600 CL11,$35.47 USD,Corsair,CMV8GX3M1A1600C11,843591036061,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/Corsair-Ddr3-8gb-1600-1x240dim/dp/B009M0TEXS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TEXS
55,Corsair Vengeance LED blue DDR4-3000 CL15,$582.97 USD,Corsair,CMU64GX4M4C3000C15B,843591095617,843591095617.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-3000MHz-Desktop/dp/B01M1GDP37?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1GDP37
56,Corsair Vengeance LED blue DDR4-3200 CL16,$145.57 USD,Corsair,CMU16GX4M2C3200C16B,843591095563,843591095563.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-VENGEANCE-3200MHz-Desktop-Memory/dp/B01M0GSOYC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0GSOYC
57,Corsair Vengeance LED red DDR4-2666 CL16,$205.03 USD,Corsair,CMU32GX4M4A2666C16R,843591090391,843591090391.0,DDR4-2666,32 GB,2666,,4,https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF58A4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF58A4
58,Corsair Vengeance LED red DDR4-2666 CL16,$211.24 USD,Corsair,CMU32GX4M2A2666C16R,843591090315,843591090315.0,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF5BN8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF5BN8
59,Corsair Vengeance LED red DDR4-3000 CL15,$628.18 USD,Corsair,CMU64GX4M4C3000C15R,843591090759,843591090759.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF3TXM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3TXM
60,Corsair Vengeance LED red DDR4-3200 CL16,$144.94 USD,Corsair,CMU16GX4M2C3200C16R,843591090278,843591090278.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF450S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF450S
61,Corsair Vengeance LED white DDR4-2666 CL16,$215.4 USD,Corsair,CMU32GX4M2A2666C16,843591090308,843591090308.0,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF53D6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF53D6
62,Corsair Vengeance LED white DDR4-2666 CL16,$220.43 USD,Corsair,CMU32GX4M4A2666C16,843591090384,843591090384.0,DDR4-2666,32 GB,2666,,4,https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF4ER2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF4ER2
63,Corsair Vengeance LED white DDR4-2666 CL16,$468.81 USD,Corsair,CMU64GX4M4A2666C16,843591090452,843591090452.0,DDR4-2666,64 GB,2666,,1,https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-2666MHz-Desktop/dp/B01HKF3W5W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3W5W
64,Corsair Vengeance LED white DDR4-3000 CL15,$646.03 USD,Corsair,CMU64GX4M4C3000C15,843591090742,843591090742.0,DDR4-3000,64 GB,3000,,1,https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF559I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF559I
65,Corsair Vengeance LED white DDR4-3200 CL16,$135.13 USD,Corsair,CMU16GX4M2C3200C16,843591090261,843591090261.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF479C?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF479C
66,Corsair Vengeance Low DDR3-1600 CL10 Low Profile,$78.16 USD,Corsair,CML16GX3M2A1600C10,843591022408,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B007TG8QRW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
67,Corsair Vengeance Low DDR3-1600 CL9 Low Profile blue,$67.72 USD,Corsair,CML8GX3M2A1600C9B,843591014397,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x4gb-1600mhz-Blue/dp/B0058J1Q7O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1Q7O
69,Corsair Vengeance Low Profile DDR3-1600 CL109,$65.75 USD,Corsair,CML16GX3M2A1600C10B,843591036122,843591036122.0,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Ven-Ddr3-2x8gb-1600mhz-Blue/dp/B009M0TCHQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TCHQ
70,Corsair Vengeance Low Profile DDR3-1600 CL9,$84.86 USD,Corsair,CML16GX3M2A1600C9,843591036733,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/Corsair-Vengeance-Desktop-Memory-CML16GX3M2A1600C9/dp/B009YOJZ5E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009YOJZ5E
71,Corsair Vengeance Low Profile DDR3-1600 CL9,$109.3 USD,Corsair,CML16GX3M4A1600C9,843591014274,843591014274.0,DDR3-1600,16 GB,1600,,4,https://www.amazon.ca/Vengeance-1600mhz-Pc3-12800-9-9-9-24-Unbuffe/dp/B0058J1QII?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1QII
72,Corsair Vengeance LPX Black DDR4-2133 CL13,$68.69 USD,Corsair,CMK16GX4M4A2133C13,843591055048,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/Corsair-CMK16GX4M4A2133C13-Vengeance-2133MHz-Systems/dp/B00PLER544?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PLER544
73,Corsair Vengeance LPX Black DDR4-2133 CL13,$464.55 USD,Corsair,CMK64GX4M8A2133C13,843591055079,,DDR4-2133,64 GB,2133,,8,https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-CMK64GX4M8A2133C13/dp/B00PTT3Z5Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PTT3Z5Y
74,Corsair Vengeance LPX Black DDR4-2133 CL15,$304.24 USD,Corsair,CMK32GX4M4A2133C15,843591051354,,DDR4-2133,32 GB,2133,,4,https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-Systems/dp/B00T7XSC2O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00T7XSC2O
75,Corsair Vengeance LPX Black DDR4-2666 CL16,$399.11 USD,Corsair,CMK128GX4M8A2666C16,843591083058,843591083058.0,DDR4-2666,128 GB,2666,,1,https://www.amazon.ca/dp/B019HVRT5G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
76,Corsair Vengeance LPX Black DDR4-3000 CL15,$195.14 USD,Corsair,CMK16GX4M4B3000C15,843591056274,,DDR4-3000,16 GB,3000,,4,https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-CMK16GX4M4B3000C15/dp/B00QXT5MNM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QXT5MNM
78,Corsair Vengeance LPX Blue DDR4-2400 CL14,$220.22 USD,Corsair,CMK32GX4M4A2400C14B,843591058308,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B00T7XSBUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
79,Corsair Vengeance LPX DDR4-2400 CL16,$152.32 USD,Corsair,CMK32GX4M4A2400C16,843591072250,,DDR4-2400,32 GB,2400,,4,https://www.amazon.ca/dp/B016BWEQYG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
80,"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",$223.13 USD,Corsair,CMK16GX4M2B3600C18R,843591084475,843591084475.0,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/Corsair-Vengeance-3600MHz-PC4-28800-CMK16GX4M2B3600C18R/dp/B01AKWRX2K?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AKWRX2K
81,Corsair Vengeance LPX red DDR4-2133 CL13,$83.41 USD,Corsair,CMK16GX4M4A2133C13R,843591055055,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/dp/B00PLER4WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
82,Corsair Vengeance LPX red DDR4-2133MHz CL13,$68.9 USD,Corsair,CMK16GX4M2A2133C13R,843591069694,,DDR4-2133,16 GB,2133,,2,https://www.amazon.ca/dp/B0123ZCAKW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
83,Corsair Vengeance LPX red DDR4-2400MHz CL14,$26.27 USD,Corsair,CMK4GX4M1A2400C14R,843591058162,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-2400MHz-Memory-Systems/dp/B00UVN2C2A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2C2A
84,Corsair Vengeance LPX red DDR4-2666 CL16,$39.89 USD,Corsair,CMK8GX4M1A2666C16R,843591069717,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZASHO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
86,Corsair Vengeance LPX black + AF,$108.8 USD,Corsair,CMK16GX4M2B3600C18,843591084451,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B01AKWSUOU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
87,Corsair Vengeance LPX black DDR4-2400 CL16,$139.98 USD,Corsair,CMK16GX4M4A2400C16,843591072236,843591072236.0,DDR4-2400,16 GB,2400,,4,https://www.amazon.ca/Corsair-Vengeance-4x4GB-Memory-Systems/dp/B016BWEPBK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016BWEPBK
88,Corsair Vengeance LPX black DDR4-2400MHz CL14,$39.21 USD,Corsair,CMK4GX4M1A2400C14,843591058155,,DDR4-2400,4 GB,2400,,1,https://www.amazon.ca/Corsair-Vengeance-Memory-PC4-19200-CMK4GX4M1A2400C14/dp/B00UVN2BO4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2BO4
89,Corsair Vengeance LPX black DDR4-2666MHz CL16,$27.71 USD,Corsair,CMK8GX4M1A2666C16,843591069564,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B0123ZAQJE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
93,"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",$102.05 USD,Corsair,CMK16GX4M4A2666C16R,843591056410,,DDR4-2666,16 GB,2666,16-18-18-35,4,https://www.amazon.ca/dp/B00OTJZO8Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
96,"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",$182.79 USD,Corsair,CMK32GX4M4A2400C14,843591054980,,DDR4-2400,32 GB,2400,14-16-16-31,4,https://www.amazon.ca/Corsair-Vengeance-2400MHz-PC4-19200-CMK32GX4M4A2400C14/dp/B00OTJZNI2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OTJZNI2
97,"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",$95.14 USD,Corsair,CMK8GX4M2B3000C15,843591069663,,DDR4-3000,8 GB,3000,15-17-17-35,2,https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-Memory/dp/B0123ZBPDA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0123ZBPDA
98,Corsair Vengeance LPX Series black DDR4-3200,$47.14 USD,Corsair,CMK16GX4M2B3200C16,843591070454,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B0143UM4TC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
99,"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",$210.35 USD,Corsair,CMK16GX4M2B3466C16,843591083072,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/Corsair-Vengeance-3466MHz-Memory-CMK16GX4M2B3466C16/dp/B0196QN48S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0196QN48S
100,Corsair Vengeance LPX Series white,$47.13 USD,Corsair,CMK16GX4M2B3200C16W,843591088381,843591088381.0,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01EI5ZRQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
101,"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",$139.36 USD,Corsair,CMK32GX4M2B3200C16W,843591088411,843591088411.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01EI5ZBXS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
102,Corsair Vengeance RGB Pro Series black,$50.04 USD,Corsair,CMW16GX4M2C3200C16,843591075381,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07D1XCKWW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
103,Corsair Vengeance RGB Pro Series black,$90.66 USD,Corsair,CMW16GX4M2C3600C18,843591076951,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B07D1XJ8J9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
104,Corsair Vengeance RGB Pro Series black,$101.55 USD,Corsair,CMW32GX4M2Z3600C18,840006621003,,DDR4-3600,32 GB,3600,18-22-22-42,2,https://www.amazon.ca/dp/B082DGZJ9C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
105,Corsair Vengeance RGB Pro Series black,$134.33 USD,Corsair,CMW16GX4M2C3200C14,843591024327,,DDR4-3200,16 GB,3200,14-14-14-34,2,https://www.amazon.ca/dp/B07G8Q7QPY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
106,Corsair Vengeance RGB Pro Series black,$137.81 USD,Corsair,CMW16GX4M2C3466C16,843591098908,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/dp/B07FBPDLN7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
107,Corsair Vengeance RGB Pro Series black,$177.71 USD,Corsair,CMW32GX4M2C3200C16,843591082914,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07GTG2T7L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
108,Corsair Vengeance RGB Pro Series black,$242.99 USD,Corsair,CMW32GX4M2C3466C16,840006603665,,DDR4-3466,32 GB,3466,16-18-18-36,2,https://www.amazon.ca/dp/B07HKGDV8X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
110,Corsair Vengeance RGB Pro Series white,$61.65 USD,Corsair,CMW16GX4M2C3200C16W,843591078719,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07D5SN1ZK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
111,Corsair Vengeance RGB Pro Series white,$68.9 USD,Corsair,CMW16GX4M2C3600C18W,843591078726,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B07D5RBTQG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
112,Corsair Vengeance RGB Series black,$104.19 USD,Corsair,CMR16GX4M2C3466C16,843591029803,,DDR4-3466,16 GB,3466,16-18-18-36,2,https://www.amazon.ca/dp/B06ZXY4V59?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
113,Corsair Vengeance RGB Series white,$151.49 USD,Corsair,CMR16GX4M2C3600C18W,843591064040,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/dp/B075NVJNL3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
115,Crucial Ballistix Elite series,$76.88 USD,Crucial,BLE2K8G4D36BEEAK,649528788672,,DDR4-3600,16 GB,3600,16-18-18,2,https://www.amazon.ca/dp/B07NPKTRS1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
117,"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB",$67.98 USD,Crucial,BLE8G4D26AFEA,649528770561,,DDR4-2666,8 GB,2666,16-17-17,1,https://www.amazon.ca/Ballistix-Single-PC4-21300-288-Pin-Memory/dp/B00RCGJLUU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00RCGJLUU
119,Crucial Ballistix Sport AT series,$75.63 USD,Crucial,BLS2K8G4D32AESTK,649528789242,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJTHF1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
